台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID
3760605	3760606		1	1163
3760606	3760607		1	1009
3760607	3760608		1	1162
3760608	3760609		1	1009
3760609			1	1163
3760701	3760702		1	1001
3760702	3760703		1	1009
3760703	3760704		1	1001
3760704	3760705		1	1009
3760705	3760706		1	1001
3760706	3760707		1	1009
3760707	3760708,3760710		1	1001
3760708	3760709		2	
3760709	3760711		1	1001
3760710	3760711		2	
3760711	3760712		1	1001
3760712	3760713		1	1001
3760713	3760714		1	1001
3760714	3760715		1	1009
3760715	3760716		1	1009
3760716	3760717		1	1009
3760717	3760718		1	1001
3760718	3760719		1	1001
3760719	3760720		1	1009
3760720	3760721,3760722		1	1009
3760721	3760723		2	
3760722	3760723		2	
3760723	3760724		1	1009
3760724	3760725		1	1009
3760725	3760726		1	1009
3760726	3760727		1	1009
3760727	3760728		1	1009
3760728	3760729		1	1001
3760729	3760730		1	1009
3760730	3760731		1	1009
3760731	3760732		1	1009
3760732	3760733		1	1001
3760733	3760734		1	1009
3760734	3760735		1	1001
3760735	3760736		1	1009
3760736	3760737		1	1001
3760737	3760738		1	1009
3760738	3760739		1	1001
3760739	3760740		1	1009
3760740	3760741		1	1001
3760741	3760742		1	1001
3760742	3760743		1	1009
3760743	3760744		1	1009
3760744	3760745		1	1009
3760745	3760746		1	1001
3760746	3760747		1	1001
3760747	3760748		1	1009
3760748	3760749		1	1009
3760749	3760750		1	1009
3760750	3760751		1	1009
3760751	3760752		1	1009
3760752	3760753		1	1009
3760753	3760754		1	1001
3760754	3760755		1	1009
3760755			1	1009
3770201	3770202		1	1001
3770202	3770203,3770204		1	1006
3770203	3770205		2	
3770204	3770205		2	
3770205	3770206		1	1009
3770206	3770207		1	1009
3770207	3770208		1	1009
3770208	3770209		1	1006
3770209	3770210		1	1006
3770210	3770211		1	1006
3770211	3770212		1	1001
3770212	3770213		1	1001
3770213	3770214		1	1005
3770214	3770215		1	1009
3770215	3770216		1	1009
3770216	3770217		1	1006
3770217	3770218		1	1009
3770218	3770219		1	1006
3770219	3770220		1	1006
3770220	3770221		1	1006
3770221	3770222		1	1006
3770222	3770223		1	1006
3770223	3770224		1	1006
3770224	3770225		1	1009
3770225	3770226		1	1009
3770226	3770227		1	1009
3770227	3770228		1	1006
3770228	3770229,3770230		1	1009
3770229	3770231		2	
3770230	3770231		2	
3770231	3770232		1	1006
3770232	3770233		1	1009
3770233	3770234		1	1005
3770234	3770235		1	1006
3770235	3770236		1	1001
3770236	3770237		1	1001
3770237	3770238		1	1009
3770238	3770239		1	1009
3770239	3770240		1	1009
3770240	3770241		1	1009
3770241			1	1009
3770401			1	1009
3770402			1	1001
3770301			1	1009
3770302			1	1001
3770303			1	1009
3770304			1	1001
3780101			1	1006
3780102			2	
3780103			2	
3780201			1	1005
3780202			1	1006
3780203			1	1005
3780204			1	1006
3780205			1	1005
3780206			1	1006
3780207			1	1006
3780208			1	1006
3780209			1	1005
3780210			1	1006
3780220			1	1006
3780301	3780302		1	1008
3780302	3780303		1	1006
3780303	3780304		1	1008
3780304	3780305		1	1008
3780305	3780306		1	1006
3780306	3780307		1	1006
3780307	3780308		1	1008
3780308	3780309		1	1006
3780309	3780310		1	1008
3780310	3780311		1	1008
3780311	3780312		1	1005
3780312	3780313		1	1006
3780313	3780314		1	1006
3780314	3780315		1	1006
3780315	3780316		1	1008
3780316	3780317		1	1008
3780317	3780318		1	1008
3780318	3780319		1	1006
3780319	3780320		1	1008
3780320	3780321		1	1006
3780321	3780322		1	1006
3780322	3780323		1	1006
3780323	3780324		1	1005
3780324	3780325,3780329		1	1005
3780325	3780326		2	
3780326	3780327		1	1006
3780327	3780328		1	1008
3780328	3780331		1	1005
3780329	3780330		2	
3780330	3780331		1	1005
3780331	3780332		1	1008
3780332	3780333		1	1006
3780333	3780334		1	1008
3780334	3780335		1	1008
3780335	3780336		1	1005
3780336	3780337		1	1008
3780337	3780338		1	1008
3780338	3780339		1	1008
3780339	3780340		1	1006
3780340	3780341		1	1005
3780341	3780342		1	1006
3780342	3780343		1	1006
3780343	3780344		1	1008
3780344	3780345		1	1006
3780345	3780346		1	1008
3780346	3780347		1	1008
3780347	3780348		1	1006
3780348	3780349		1	1008
3780349	3780350		1	1006
3780350	3780351		1	1006
3780351	3780352		1	1008
3780352			1	1008
3780401			1	1006
3780402			1	1008
3780403			1	1006
3780404			1	1008
3950301	3950302		1	1008
3950302	3950303	1	1	1008
3950303			1	1008
3950304			2	
3950401			1	1008
3950402			1	1006
3790201	3790202		1	1001
3790202	3790203		1	1001
3790203	3790204		1	1001
3790204	3790205		1	1006
3790205	3790206		1	1001
3790206	3790207		1	1001
3790207	3790208		1	1001
3790208	3790209		1	1009
3790209	3790210		1	1005
3790210	3790211		1	1005
3790211	3790212		1	1001
3790212	3790213		1	1005
3790213	3790214		1	1001
3790214	3790215		1	1001
3790215	3790216,3790217		1	1001
3790216	3790218		2	
3790217	3790218		2	
3790218	3790219		1	1001
3790219	3790220		1	1001
3790220	3790221		1	1001
3790221	3790222		2	
3790222			1	1001
3790301	3790302		1	1001
3790302		1	2	
3790401	3790402		1	1001
3790402	3790403		1	1006
3790403	3790404		1	1005
3790404	3790405		1	1006
3790405	3790406		1	1001
3790406	3790407,3790409,3790410		1	1001
3790407	3790408		2	
3790408	3790411		1	1005
3790409	3790411		2	
3790410	3790411		2	
3790411	3790412		1	1001
3790412	3790413		1	1001
3790413	3790414		1	1006
3790414	3790415		1	1005
3790415	3790416		1	1006
3790416	3790417		1	1006
3790417	3790418	1	2	
3790418	3790419		1	1001
3790419	3790420		1	1001
3790420	3790421		1	1005
3790421	3790422		1	1001
3790422	3790423		1	1005
3790423			1	1005
3790501			1	1001
3790502			1	1006
3790503			1	1009
3800101			1	1006
3800102			1	1009
3800103			1	1009
3800104			1	1005
3800105			1	1006
3800106			1	1006
3800107			1	1009
3800108			1	1009
3800109			1	1009
3800110			1	1009
3800111			1	1009
3800112			1	1005
3800113	3800114		1	1005
3800114	3800115		1	1009
3800115			1	1009
3810101			1	1006
3810102			1	1005
3810103			1	1006
3810104			1	1006
3810105			1	1005
3810106			1	1006
3810107			1	1006
3810108			1	1005
3810109			1	1006
3810110			1	1005
3810111			1	1006
3810112			1	1005
3810113			1	1006
3810114			1	1005
3810115			1	1009
3810116			1	1009
3810117			1	1005
3810118	3810119		1	1005
3810119	3810120		1	1006
3810120			1	1005
3820201			1	1009
3820202			1	1009
3820203			1	1005
3820204			1	1009
3820205			1	1009
3820206			1	1009
3820207			1	1005
3820208			1	1009
3820209			1	1009
3820210			1	1009
3820211			1	1009
3820212			1	1009
3820213			1	1005
3820214			1	1005
3820215			1	1005
3820216			1	1009
3820217			1	1009
3820101			1	1005
3820102			1	1005
3830201	3830202		1	1005
3830202	3830203		1	1005
3830203	3830204		1	1001
3830204	3830205		1	1001
3830205	3830206		1	1001
3830206	3830207		1	1001
3830207	3830208		1	1001
3830208	3830209		1	1006
3830209	3830210		1	1009
3830210	3830211		1	1001
3830211			1	1001
3830301	3830302		1	1001
3830302		1	2	
3830401	3830402		1	1005
3830402	3830403		1	1006
3830403	3830404		1	1001
3830404	3830405		1	1001
3830405	3830406		1	1006
3830406	3830407		1	1006
3830407	3830408		1	1006
3830408	3830409		1	1009
3830409	3830410		1	1006
3830410	3830411		1	1001
3830411	3830412		1	1001
3830412	3830413		1	1005
3830413	3830414,3830415,3830416		1	1005
3830414	3830418		2	
3830415	3830418		2	
3830416	3830417		2	
3830417	3830418		1	1006
3830418	3830419		1	1009
3830419	3830420		1	1005
3830420	3830421		1	1009
3830421	3830422		1	1009
3830422	3830423		1	1001
3830423	3830424		1	1001
3830424	3830425		1	1006
3830425	3830426		1	1006
3830426	3830427		1	1005
3830427			1	1006
3830501	3830502,3830507,3830512		1	1001
3830502	3830503		2	
3830503	3830504		1	1001
3830504	3830505		1	1001
3830505	3830506		1	1001
3830506			1	1001
3830507	3830508		2	
3830508	3830509		1	1001
3830509	3830510		1	1001
3830510	3830511		1	1001
3830511			1	1001
3830512	3830513		2	
3830513			1	1001
3830514	3830515,3830520,3830525		1	1006
3830515	3830516		2	
3830516	3830517		1	1006
3830517	3830518		1	1006
3830518	3830519		1	1006
3830519			1	1006
3830520	3830521		2	
3830521	3830522		1	1006
3830522	3830523		1	1006
3830523	3830524		1	1006
3830524			1	1006
3830525	3830526		2	
3830526			1	1006
3830527	3830528,3830532,3830536		1	1009
3830528	3830529		2	
3830529	3830530		1	1009
3830530	3830531		1	1009
3830531			1	1009
3830532	3830533		2	
3830533	3830534		1	1009
3830534	3830535		1	1009
3830535			1	1009
3830536	3830537		2	
3830537			1	1009
3840201	3840202		1	1009
3840202	3840203		1	1005
3840203	3840204		1	1001
3840204	3840205		1	1001
3840205	3840206		1	1006
3840206	3840207		1	1006
3840207	3840208		1	1009
3840208	3840209		1	1009
3840209	3840210		1	1001
3840210			1	1001
3840301			1	1001
3840302			1	1177
3840303			1	1001
3840304			1	1001
3840305			1	1177
3840306			1	1006
3840307			1	1005
3840308			1	1178
3840309			1	1178
3840310			1	1178
3840311			1	1177
3840312			1	1178
3840313			1	1178
3840314			1	1177
3840315			1	1001
3840316			1	1177
3840317			1	1177
3840318			1	1001
3840322			1	1177
3840401	3840402		1	1001
3840402	3840403		1	1006
3840403	3840404		1	1009
3840404	3840405		1	1178
3840405	3840406		1	1006
3840406	3840407		1	1006
3840407	3840408		1	1009
3840408	3840409		1	1009
3840409	3840410		1	1001
3840410	3840411,3840413		1	1001
3840411	3840412		2	
3840412	3840417		1	1009
3840413	3840414		2	
3840414	3840415		2	
3840415	3840416		1	1009
3840416	3840417		1	1009
3840417	3840418		1	1006
3840418	3840419		1	1009
3840419	3840420		1	1006
3840420	3840421		1	1009
3840421	3840422		1	1005
3840422	3840423		1	1009
3840423	3840424		1	1005
3840424	3840425		1	1005
3840425	3840426		1	1001
3840426	3840427		1	1009
3840427	3840428		1	1009
3840428			1	1009
3840501			1	1001
3840601	3840602		1	1001
3840602	3840603		1	1001
3840603	3840604		1	1001
3840604	3840605		1	1001
3840605	3840606,3840608,3840610		1	1001
3840606	3840607		2	
3840607	3840612		1	1001
3840608	3840609		2	
3840609	3840613		1	1001
3840610	3840611		2	
3840611	3840612		2	
3840612	3840613		1	1001
3840613	3840614		1	1001
3840614	3840615		1	1001
3840615	3840616		1	1001
3840616	3840617		1	1001
3840617	3840618		1	1001
3840618	3840619		1	1009
3840619	3840620		1	1009
3840620	3840621		1	1006
3840621	3840622		1	1006
3840622	3840623		1	1001
3840623	3840624		1	1009
3840624	3840625		1	1006
3840625	3840626		1	1001
3840626	3840627		1	1001
3840627	3840628,3840630		1	1005
3840628	3840628		2	
3840629	3840633		1	1001
3840630	3840631		2	
3840631	3840632		1	1001
3840632	3840633		1	1001
3840633	3840634		1	1001
3840634	3840635		1	1001
3840635	3840636		1	1001
3840636	3840637		1	1001
3840637	3840638		1	1001
3840638	3840639		1	1001
3840639	3840640		1	1005
3840640	3840641,3840642		1	1005
3840641	3840643		2	
3840642	3840643		2	
3840643	3840644		1	1009
3840644	3840645		1	1009
3840645	3840646		1	1006
3840646	3840647		1	1005
3840647	3840648		1	1005
3840648	3840649		1	1009
3840649	3840650		1	1001
3840650			1	1001
3840801			1	1001
3840802			1	1006
3840803			1	1009
3840701			1	1001
3840702			1	1006
3840703	3840704		1	1009
3840704			1	1009
3840705			2	
3840706			2	
3840707			1	1005
3840708			1	1009
3880101	3880102		1	1005
3880102	3880103		1	1005
3880103	3880201		1	1001
3880201			1	1006
3880202			1	1001
3880203			1	1001
3880204			1	1006
3880205			1	1006
3880301	3880302		1	1001
3880302	3880303		1	1001
3880303	3880304		1	1001
3880304	3880305		1	1009
3880305	3880306		1	1009
3880306	3880307		1	1001
3880307			1	1001
3880401	3880402		1	1005
3880402	3880403		1	1006
3880403			1	1006
3890101			1	1005
3890102			1	1005
3890103			1	1001
3890104			1	1005
3890301	3890302		1	1005
3890302	3890303		1	1001
3890303	3890304		1	1005
3890304	3890305		1	1001
3890305	3890306		1	1005
3890306			1	1001
3890401			1	1005
3890402			1	1005
3890403			1	1009
3890404			1	1009
3890405			1	1001
3890406			1	1001
3890407			1	1001
3890408			1	1005
3890409			1	1005
3890501			1	1001
3890502			1	1001
3890601	3890602		1	1001
3890602	3890603		1	1005
3890603	3890604		1	1001
3890604	3890605		1	1001
3890605	3890606		1	1001
3890606	3890607		1	1001
3890607	3890608		1	1009
3890608	3890609		1	1009
3890609	3890610		1	1009
3890610	3890611		1	1009
3890611	3890612		1	1009
3890612	3890613		1	1009
3890613	3890614		1	1005
3890614	3890615		1	1001
3890615			1	1005
3900101			1	1005
3900102			1	1005
3900103			1	1005
3900301	3900302		1	1009
3900302	3900303		1	1009
3900303	3900304		1	1001
3900304	3900305		1	1009
3900305			1	1009
3910301	3910302		1	1009
3910302			1	1009
3920301	3910302		1	1009
3920302			1	1009
3900801			1	1001
3900802			1	1001
3900803			1	1001
3910801			1	1001
3910802			1	1001
3920801			1	1005
3920802			1	1005
3900401			1	1001
3900601			1	1001
3910501			1	1001
3920601			1	1001
3930101	3930102		1	1001
3930102	3930103		1	1006
3930103	3930104		1	1006
3930104	3930105,3930106		1	1006
3930105	3930107		2	
3930106	3930107		2	
3930107	3930108		1	1005
3930108	3930109		1	1005
3930109	3930110		1	1005
3930110	3930111,3930114,3930117		1	1009
3930111	3930112		2	
3930112	3930113		1	1005
3930113	3930118		1	1005
3930114	3930115		2	
3930115	3930116		1	1005
3930116	3930118		1	1005
3930117	3930118		2	
3930118	3930119		1	1001
3930119	3930120		1	1005
3930120	3930121		1	1001
3930121	3930122		1	1001
3930122	3930123		1	1001
3930123	3930124		1	1001
3930124	3930125		1	1001
3930125	3930126		1	1001
3930126	3930127		1	1005
3930127	3930128		1	1001
3930128	3930129		1	1001
3930129	3930134		1	1005
3930130	3930131,3930134		1	1001
3930131	3930132		2	
3930132	3930133		1	1001
3930133	3930136		1	1005
3930134	3930135		2	
3930135	3930136		1	1001
3930136	3930137		1	1001
3930137	3930138		1	1001
3930138	3930139		1	1001
3930139	3930140		1	1005
3930140	3930141	1	2	
3930141	3930142		1	1001
3930142	3930143		1	1001
3930143	3930144		1	1001
3930144	3930145	1	2	
3930145	3930146		1	1001
3930146	3930147		1	1001
3930147	3930149		1	1001
3930201	3930202		1	1001
3930202			1	1001
3930301	3930302		1	1009
3930302			1	1009
3930401	3930402		1	1006
3930402			1	1006
3960101			1	1005
3960102			1	1010
3960103			1	1010
3960104			1	1010
3960105			1	1001
3960106			1	1010
3960107			1	1010
3960108			1	1001
3960109			1	1001
3960110			1	1001
3960111			1	1001
3960112			1	1001
3960113			1	1001
3960114			1	1010
3960115			1	1010
3960116			1	1010
3960117			1	1010
3960118			1	1001
3960119			1	1001
3960120			2	1001
3960121			1	1001
3960122			1	1001
3960123			1	1001
3960124			1	1006
3960125			1	1006
3960126			1	1006
3960127			1	1006
3960128			1	1006
3960129			1	1006
3960130			1	1001
3960131			1	1001
3960201	3960202		1	1008
3960202	3960203		1	1008
3960203	3960204		1	1008
3960204	3960205		1	1008
3960205	3960206		1	1006
3960206	3960207		1	1006
3960207	3960208		1	1006
3960208	3960209		1	1006
3960209	3960210		1	1008
3960210	3960211		1	1008
3960211	3960212		1	1005
3960212	3960213		1	1008
3960213	3960214		2	
3960214	3960215		1	1008
3960215	3960216		1	1005
3960216	3960217		1	1001
3960217	3960218		1	1008
3960218	3960219		1	1008
3960219	3960220		1	1008
3960220	3960221		1	1005
3960221	3960222		1	1005
3960222	3960223		1	1008
3960223	3960224		1	1001
3960224	3960225		1	1001
3960225	3960226		1	1008
3960226	3960227,3960229		1	1008
3960227	3960228		2	
3960228	3960231		1	1008
3960229	3960230		2	
3960230	3960231		1	1008
3960231			1	1008
3960401	3960402		1	1005
3960402	3960403		1	1001
3960403	3960404		1	1001
3960404	3960405		1	1001
3960405	3960406		1	1005
3960406	3960407		1	1006
3960407	3960409		1	1006
3960409	3960410		1	1001
3960410	3960411		1	1001
3960411	3960412,3960415,3960418		1	1006
3960412	3960413		2	
3960413	3960414		1	1005
3960414	3960422		1	1005
3960415	3960416		2	
3960416	3960417		1	1005
3960417	3960422		1	1005
3960418	3960419		2	
3960419	3960420		2	
3960420	3960421		1	1005
3960421	3960422		1	1001
3960422	3960423		1	1001
3960423	3960424		1	1001
3960424	3960425		1	1001
3960425	3960426		1	1001
3960426	3960427		1	1001
3960427	3960428,3960429		1	1001
3960428	3960431		2	
3960429	3960430		2	
3960430	3960431		2	
3960431	3960432		1	1001
3960432	3960433		1	1001
3960433	3960434		1	1001
3960434	3960435		1	1006
3960435	3960436		2	
3960436			1	1005
3960601	3960602		1	1001
3960602	3960603		1	1001
3960603	3960604,3960605		1	1001
3960604	3960606		2	
3960605	3960606		2	
3960606	3960607		1	1001
3960607	3960608		1	1001
3960608	3960609		1	1001
3960609	3960610		1	1001
3960610	3960611		1	1001
3960611	3960612		1	1001
3960612	3960613		1	1001
3960613	3960614		1	1001
3960614	3960615		1	1001
3960615	3960616		1	1001
3960616	3960617		1	1001
3960617	3960618,3960619		1	1001
3960618	3960620		2	
3960619	3960620		2	
3960620	3960621		1	1001
3960621			1	1001
3860101	3860102		1	1469
3860102	3860103		1	1469
3860103	3860104		1	1469
3860104	3860105		1	1469
3860105	3860106		1	1469
3860106	3860107		1	1469
3860107	3860108		1	1469
3860108	3860109		1	1469
3860109	3860110	1	2	
3860110	3860111		1	1469
3860111	3860112		1	1469
3860112	3860113,3860115		1	1469
3860113	3860114		2	
3860114	3860117		1	1469
3860115	3860116		2	
3860116	3860117		1	1469
3860117			1	1469
3870101	3870102		1	1469
3870102	3870103		1	1469
3870103	3870104		1	1469
3870104	3870105		1	1469
3870105	3870106	1	2	
3870106	3870107,3870109		1	1469
3870107	3870108		2	
3870108	3870111		1	1469
3870109	3870110		2	
3870110	3870111		1	1469
3870111	3870112	1	2	
3870112	3870113		1	1469
3870113	3870114		1	1469
3870114	3870115		1	1469
3870115			1	1469
4010001			2	
4010101	4010102		2	
4010102	4010103		1	1101
4010103			2	
4010201			1	1101
4010301	4010302		2	
4010302	4010303		1	1101
4010303			1	1101
4010401			1	1101
4010501	4010502		1	1101
4010502	4010503		2	
4010503	4010504		1	1101
4010504	4010505		2	
4010505	4010506		1	1101
4010506			1	1101
4015140101	4015140102		1	1403
4015140102	4015140103		1	1401
4015140103	4015140104		1	1403
4015140104	4015140105		1	1403
4015140105	4015140106		1	1401
4015140106	4015140107		1	1403
4015140107	4015140108		1	1403
4015140108	4015140109		1	1401
4015140109	4015140110		1	1401
4015140110			1	1403
4015140199			1	1401
4015140301	4015140302		1	1403
4015140302	4015140303		1	1401
4015140303	4015140304		1	1403
4015140304	4015140305		1	1403
4015140305	4015140306		1	1401
4015140306	4015140307		1	1403
4015140307	4015140308		1	1403
4015140308	4015140309		1	1401
4015140309	4015140310		1	1401
4015140310			1	1403
4015140399			1	1403
4015140401	4015140402		1	1404
4015140402	4015140403,4015140404,4015140406		1	1404
4015140403	4015140407		1	1404
4015140404	4015140412		1	1404
4015140405	4015140417	1	2	
4015140406	4015140419		1	1404
4015140407	4015140408		1	1404
4015140408	4015140409		1	1404
4015140409	4015140410		1	1404
4015140410	4015140411		1	1404
4015140411	4015140403,4015140404,4015140406		1	1404
4015140412	4015140413		1	1404
4015140413	4015140414		1	1404
4015140414	4015140415		1	1404
4015140415	4015140416		1	1404
4015140416	4015140405		1	1404
4015140417	4015140418		1	1404
4015140418	4015140403,4015140404,4015140406		1	1404
4015140419			1	1404
4015140499			1	1404
4015140501	4015140502,4015140505		1	1405
4015140502	4015140506		1	1405
4015140503	4015140510		1	1405
4015140504	4015140513		1	1405
4015140505	4015140517		1	1405
4015140506	4015140507		1	1405
4015140507	4015140508		1	1405
4015140508	4015140509		1	1405
4015140509	4015140503,4015140504		1	1405
4015140510	4015140511		1	1405
4015140511	4015140512		1	1405
4015140512			1	1405
4015140513	4015140514		1	1405
4015140514	4015140515		1	1405
4015140515	4015140516		1	1405
4015140516			1	1405
4015140517	4015140518		1	1405
4015140518			1	1405
4015140599			1	1405
4015140801	4015140802		1	1408
4015140802	4015140803,4015140805		1	1408
4015140803	4015140806		1	1408
4015140804	4015140811	1	2	
4015140805	4015140816		1	1408
4015140806	4015140807		1	1408
4015140807	4015140808		1	1408
4015140808	4015140809		1	1408
4015140809	4015140810		1	1408
4015140810	4015140804		1	1408
4015140811	4015140812		1	1408
4015140812	4015140813		1	1408
4015140813	4015140814		1	1408
4015140814	4015140815		1	1408
4015140815			1	1408
4015140816			1	1408
4015140899			1	1408
4015140901			1	1409
4015140902			1	1409
4015140903			1	1409
4015140904			1	1409
4015140905	4015140906		1	1409
4015140906	4015140907		1	1409
4015140907	4015140908		1	1409
4015140908			1	1409
4015140909	4015140910		1	1409
4015140910	4015140911		1	1409
4015140911	4015140912		1	1409
4015140912			1	1409
4015140913			1	1409
4015140999			1	1409
4015141001	4015141002,4015141004		1	1410
4015141002	4015141005		2	
4015141003	4015141009	1	2	
4015141004	4015141013		2	
4015141005	4015141006		1	1410
4015141006	4015141007		1	1410
4015141007	4015141008		1	1410
4015141008	4015141003		1	1410
4015141009	4015141010		1	1410
4015141010	4015141011		1	1410
4015141011	4015141012		1	1410
4015141012			1	1410
4015141013			1	1410
4015141099			1	1410
4015141101			1	1411
4015141102	4015141105		1	1411
4015141103	4015141108	1	2	
4015141104	4015141117		1	1411
4015141105	4015141106		1	1411
4015141106	4015141107		1	1411
4015141107	4015141103		1	1411
4015141108	4015141109		1	1411
4015141109	4015141110		1	1411
4015141110	4015141111		1	1411
4015141111	4015141112		1	1411
4015141112	4015141113		1	1411
4015141113	4015141114		1	1411
4015141114	4015141115		1	1411
4015141115	4015141116		1	1411
4015141116			1	1411
4015141117			1	1411
4015141199			1	1411
4015141201	4015141202,4015141204		1	1412
4015141202	4015141205		1	1412
4015141203	4015141209	1	2	
4015141204	4015141215		1	1412
4015141205	4015141206		1	1412
4015141206	4015141207		1	1412
4015141207	4015141208		1	1412
4015141208	4015141203		1	1412
4015141209	4015141210		1	1412
4015141210	4015141211		1	1412
4015141211	4015141212		1	1412
4015141212	4015141213		1	1412
4015141213	4015141214		1	1412
4015141214			1	1412
4015141215			1	1412
4015141299			1	1412
4015141301			1	1413
4015141302	4015141305		1	1413
4015141303	4015141310		1	1413
4015141304	4015141316		1	1413
4015141305	4015141306		1	1413
4015141306	4015141307		1	1413
4015141307	4015141308		1	1413
4015141308	4015141309		1	1413
4015141309			1	1413
4015141310	4015141311		1	1413
4015141311	4015141312		1	1413
4015141312	4015141313		1	1413
4015141313	4015141314		1	1413
4015141314	4015141315		1	1413
4015141315			1	1413
4015141316			1	1413
4015141399			1	1413
4015141401	4015141402,4015141403,4015141404		1	1414
4015141402	4015141405		1	1414
4015141403	4015141408		1	1414
4015141404	4015141411		1	1414
4015141405	4015141406		1	1414
4015141406	4015141407		1	1414
4015141407	4015141402,4015141403,4015141404		1	1414
4015141408	4015141409		1	1414
4015141409	4015141410		1	1414
4015141410	4015141402,4015141403,4015141404		1	1414
4015141411			1	1414
4015141499			1	1414
4015146701	4015146702,4015146705		1	1467
4015146702	4015146706	1	2	
4015146703	4015146711	1	2	
4015146704	4015146716	1	2	
4015146705	4015146722		1	1467
4015146706	4015146707		1	1467
4015146707	4015146708		1	1467
4015146708	4015146709		1	1467
4015146709	4015146710		1	1467
4015146710	4015146703,4015146704		1	1467
4015146711	4015146712		1	1467
4015146712	4015146713		1	1467
4015146713	4015146714		1	1467
4015146714	4015146715		1	1467
4015146715			1	1467
4015146716	4015146717		1	1467
4015146717	4015146718		1	1467
4015146718	4015146719		1	1467
4015146719	4015146720		1	1467
4015146720	4015146721		1	1467
4015146721			1	1467
4015146722			1	1467
4015146799			1	1467
4015141701	4015141702,4015141714,4015141705		1	1417
4015141702	4015141706		1	1417
4015141714	4015141715	1	2	
4015141715	4015141703,4015141704		1	1417
4015141703	4015141707	1	2	
4015141704	4015141710	1	2	
4015141705	4015141713	1	2	
4015141706			1	1417
4015141707	4015141708		1	1417
4015141708	4015141709		1	1417
4015141709			1	1417
4015141710	4015141711		1	1417
4015141711	4015141712		1	1417
4015141712			1	1417
4015141713			1	1417
4015141751	4015141702,4015141703,4015141704,4015141705		1	1417
4015141799			1	1417
4015141901	4015141902,4015141916,4015141905		1	1419
4015141902	4015141906		1	1419
4015141916	4015141917		2	
4015141917	4015141903,4015141904		1	1419
4015141903	4015141907		2	
4015141904	4015141911		2	
4015141905	4015141915		2	
4015141906			1	1419
4015141907	4015141908		1	1419
4015141908	4015141909		1	1419
4015141909	4015141910		1	1419
4015141910			1	1419
4015141911	4015141912		1	1419
4015141912	4015141913		1	1419
4015141913	4015141914		1	1419
4015141914			1	1419
4015141915			1	1419
4015141951	4015141902,4015141903,4015141904,4015141905		1	1419
4015141999			1	1419
4015142101	4015142102		1	1421
4015142102	4015142103,4015142106		1	1421
4015142103	4015142107		2	
4015142104	4015142109		2	
4015142105	4015142112		2	
4015142106	4015142116		1	1421
4015142107	4015142108		1	1421
4015142108	4015142104,4015142105		1	1421
4015142109	4015142110		1	1421
4015142110	4015142111		1	1421
4015142111			1	1421
4015142112	4015142113		1	1421
4015142113	4015142114		1	1421
4015142114	4015142115		1	1421
4015142115			1	1421
4015142116			1	1421
4015142199			1	1421
4015142301	4015142313,4015142305		1	1423
4015142302	4015142306		2	
4015142313	4015142314		2	
4015142314	4015142303,4015142304		1	1423
4015142303	4015142307		2	
4015142304	4015142309		2	
4015142305	4015142312		2	
4015142306			1	1423
4015142307	4015142308		1	1423
4015142308			1	1423
4015142309	4015142310		1	1423
4015142310	4015142311		1	1423
4015142311			1	1423
4015142312			1	1423
4015142351	4015142302,4015142313,4015142305		1	1423
4015142399			1	1423
4015142501	4015142519,4015142505		1	1425
4015142519	4015142520		2	
4015142520	4015142502,4015142503,4015142504		1	1425
4015142502	4015142506		2	
4015142503	4015142509		2	
4015142504	4015142513		2	
4015142505	4015142517		1	1425
4015142506	4015142507		1	1425
4015142507	4015142508		1	1425
4015142508			1	1425
4015142509	4015142510		1	1425
4015142510	4015142511		1	1425
4015142511	4015142512		1	1425
4015142512			1	1425
4015142513	4015142514		1	1425
4015142514	4015142515		1	1425
4015142515	4015142516		1	1425
4015142516			1	1425
4015142517	4015142518		1	1425
4015142518			1	1425
4015142599			1	1425
4015142701	4015142702,4015142703,4015142704,4015142705		1	1427
4015142702	4015142706		1	1427
4015142703	4015142711		1	1427
4015142704	4015142716		1	1427
4015142705	4015142721		1	1427
4015142706	4015142707		1	1427
4015142707	4015142708		1	1427
4015142708	4015142709		1	1427
4015142709	4015142710		1	1427
4015142710			1	1427
4015142711	4015142712		1	1427
4015142712	4015142713		1	1427
4015142713	4015142714		1	1427
4015142714	4015142715		1	1427
4015142715			1	1427
4015142716	4015142717		1	1427
4015142717	4015142718		1	1427
4015142718	4015142719		1	1427
4015142719	4015142720		1	1427
4015142720			1	1427
4015142721	4015142722		1	1427
4015142722			1	1427
4015142799			1	1427
4015142901	4015142902,4015142905		1	1429
4015142902	4015142906		2	
4015142903	4015142908		2	
4015142904	4015142910		2	
4015142905	4015142912		2	
4015142906	4015142907		1	1429
4015142907	4015142903,4015142904		1	1429
4015142908	4015142909		1	1429
4015142909			1	1429
4015142910	4015142911		1	1429
4015142911			1	1429
4015142912			1	1429
4015142999			1	1429
4015143001	4015143002,4015143003,4015143004,4015143005		1	1430
4015143002	4015143006		1	1430
4015143003	4015143008		1	1430
4015143004	4015143010		1	1430
4015143005	4015143012		1	1430
4015143006	4015143007		1	1430
4015143007			1	1430
4015143008	4015143009		1	1430
4015143009			1	1430
4015143010	4015143011		1	1430
4015143011			1	1430
