子任务ID	父任务ID	序列	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2
39402	394	3				1	39404	3											3	29010102													19	2002																1			20	5		17	3	38				14	39401										
39403	394	4		1		1	39402	3											4	39403																													1	1																							
39601	396	1				1	39402	3											4																															1			15	3	133007183	22	70020002	0															
39602	396	2				1	39601	3											2	39602																					2		1008		1008	QuestTarget	2			1																							
39603	396	3				1	99902	3											2	39603																																																					
39604	396	4		1		1	39602	3											2	39604																													1																								
39605	396	5				1	99902	3											10	3																																																					
39606	396	6				1	39605	3											2	39606																																																					
40101	401	1		1		1	40305	3											2	40101																																																					
40102	401	2				1	40101	3											5	100004			1																		1		Q401Treasure																														
40103	401	3				1	40102	3											2	40103																					2		1101										1	100004	1																		
40104	401	4				1	40103	3											4	4002																					2		1101																														
40105	401	5				1	40104	3											2	40105																					2		1101																														
40106	401	6				1	40105	3											3	20011301			1																		2		1101						1																								
40201	402	1		1		1	40305	3											2	40201																																																					
40202	402	2				1	40201	3											3	21010301			4																		1		Q402Hostage																														
40203	402	3				1	40202	3											2	40203																					2		1151																														
40204	402	4				1	40203	3											5	100006			1																		1		Q402Key																														
40205	402	5				1	40204	3											2	40205																					2		1151						1				1	100006	1																		
40300	403	1				1	30902	4											2	40301																					2		1105																														
40301	403	2		1		1	30902	4											2	40302																																																					
40302	403	3				1	40301	3										2	4	40302				5	100007		1														1		Q403Finish																														
40303	403	4				1	40302	4											2	40304																					2		1105																														
40304	403	5				1	40302	3											2	40305																					2		1105						1				1	100007	1																		
40305	403	6		1		1	40303	3											4	40305																																																					
40400	404	1				1	40305	3		7	3	1	2						2	40458																					2		1002																														
40401	404	2				1	40400	3											2	40403																					2		1002							1																							
40402	404	3				1	40401	3											4	40402													8	40402							1		Q404AmborStart																														
40403	404	4				1	40402	4											2	40405																					2		1002																														
40404	404	5				1	40402	3											2	40406																					2		1002							1																							
40405	404	6		1		1	40403	3											4	40405													8	40405																												14	40401										
40406	404	7				1	40404	3											2	40409																														1																							
40407	404	8				1	40406	3											4	40407													8	40407							1		Q404AmborStart																														
40408	404	9				1	40407	4											2	40411																					2		1002																														
40409	404	10				1	40407	3											2	40415																					2		1002						1	1			4	3	2,3																		
40410	404	11		1		1	40408	3											4	40410													8	40410																												14	40406										
40501	405	1				1	40409	3											2	40502																					2		1002							1																							
40502	405	2				1	40501	3											4	40502													8	40502							1		Q405DrunkJudge																														
40503	405	3				1	40502	4											2	40504																					2		1002																														
40504	405	4				1	40502	3											2	40505																					2		1002						1	1																							
40505	405	5		1		1	40503	3											4	40505													8	40505																												14	40501										
40601	406	1				1	40504	3											2	40603																					2		1002							1			4	3	18,19,20,21,22,23,24,25																		
40602	406	2				1	40601	3											4	40602													8	40602							2		1002																														
40603	406	3				1	40602	4											2	40605																					2		1002										5	3	18,19,20,21,22,23,24,25																		
40604	406	4				1	40602	3											2	40606																					2		1002						1	1	100010	1	5	3	18,19,20,21,22,23,24,25																		
40605	406	5		1		1	40603	3											4	40605													8	40605																												14	40601										
40701	407	1		1		1	35724	3											2	40702																					2		1105							1																							
40702	407	2				1	40701	3										2	13	9				4	40702								8	40702							2		1105																														
40703	407	3				1	40702	4											2	40704																					2		1105																														
40704	407	4				1	40702	3											2	40705																					2		1105						1	1																							
40705	407	5		1		1	40703	3											4	40705													8	40705																												14	40701										
40801	408	1		1		1	35724	3											2	40801																					2		1116							1																							
40802	408	2		1		1	40801	3											2	40802																					2		1116																														
40803	408	3		1		1	40801	3											2	40803																					2		1116																														
40804	408	4		1	2	1	40802	3		1	40803	3		1	40803	3			2	40804																					2		1116																														
40805	408	5		1		1	40804	3											4	40805													8	40805																												14	40801										
40806	408	6		1	2	1	40802	3		1	40803	3		1	40803	3			2	40805																					2		1116																														
40807	408	7				1	40806	3											4	40807													8	40807							1		Q408KeyPos																														
40808	408	8				1	40807	4											2	40807																					2		1116																														
40809	408	9				1	40807	3											2	40808																					2		1116						1																								
40810	408	10		1		1	40808	3											4	40810													8	40810																												14	40801										
40901	409	1		1		1	35724	3											2	40907																					2		1117							1																							
40902	409	2		1		1	40901	3											4	40902													8	40902							2		1117																														
40903	409	3				1	40902	4											2	40905																					2		1117																														
40904	409	4				1	40902	3											2	40906																					2		1117						1	1																							
40905	409	5		1		1	40903	3											4	40905													8	40905																												14	40901										
41001	410	1		1		1	35724	3											2	41006																																																					
41002	410	2				1	41001	3											5	100114																					1		Q410Medicine																														
41003	410	3				1	41002	3											2	41008																					2		1118										1	100114	1																		
41004	410	4				1	41003	3											2	41009																					2		1119						1																								
41101	411	1		1		1	40305	3											2	41103																																																					
41102	411	2				1	41101	3											5	100101																					1		Q411QinFilesPos																														
41103	411	3				1	41102	3											2	41105																					2		1007										1	100101	1																		
41104	411	4				1	41103	3											5	100102																					1		Q411JourneyNotes																														
41105	411	5				1	41104	3											2	41107																					2		1007																														
41106	411	6				1	41105	3											6	1011																					1		Q411LoversCape																														
41107	411	7				1	41106	3											6	1012																					1		Q411LoversCape																														
41108	411	8				1	41107	3											2	41109																					2		1006							1																							
41109	411	9				1	41108	3											5	100103																					1		Q411LoversCape																														
41110	411	10				1	41109	3											2	41111																					2		1006																														
41111	411	11				1	41110	3											2	41112																					2		1007								100105	1																					
41112	411	12				1	41111	3											2	41113																					2		1006										1	100105	1																		
41113	411	13				1	41112	3											2	41114																					2		1006																														
41114	411	14				1	41113	3											2	41115																					2		1107							1	100104	1																					
41115	411	15				1	41114	3											2	41116																					2		1006							1			1	100103	1	1	100104	1															
41116	411	16				1	41115	3											2	41117																					2		1006						1	1																							
41200	412	1				1	40305	3											2	41203																					2		1004							1																							
41201	412	2				1	41200	3											2	41205																					2		1004																														
41202	412	3				1	41201	3											2	41207																					2		1004							1			7	133003058																			
41203	412	4				1	41202	3										1	7	133003058				8	41203																1		Q412QuestCenter1																														
41204	412	5				1	41203	3											2	41210																					2		1004																														
41205	412	6				1	41204	3											2	41216																					2		1004							1			7	133003006																			
41206	412	7				1	41205	3										1	7	133003006				8	41206																1		Q412QuestCenter2																														
41207	412	8				1	41206	3											2	41219																					2		1004																														
41208	412	9				1	41207	3											2	41228																					2		1004							1			7	220008004																			
41209	412	10				1	41208	3											7	220008004																					1		Q412GaiaAnswer																														
41210	412	11				1	41209	3											2	41232																					2		1004						1																								
41301	413	1		1		1	40305	3											5	100107																																																					
41302	413	2				1	41301	3											2	41301																					2		1007								100108	1																					
41303	413	3				1	41302	3											2	41302																					2		1008								100109	1																					
41304	413	4				1	41303	3											4	41302													8	41302							2		1008																														
41305	413	5				1	41304	3											2	41303																					2		1008										1	100108	1																		
41306	413	6				1	41305	3											4	41306													8	41306							2		1108																														
41307	413	7				1	41306	3											2	41304																					2		1108																														
41308	413	8				1	41307	3											2	41306																					2		1008																														
41309	413	9				1	41308	3											9	7																					1		Q413BarbaraHide																														
41310	413	10				1	41309	3											7	220006005																																																					
41311	413	11				1	41310	3											2	41307																					2		1109																														
41312	413	12				1	41311	3											2	41308																					2		1109								13003	1																					
41313	413	13				1	41312	3											2	41309																					2		1008																														
41314	413	14				1	41313	3											10	3																																																					
41315	413	15				1	41314	3											2	41310																					2		1008																														
41316	413	16				1	41315	3											2	41311																					2		1007						1																								
41400	414	1				1	40305	3											2	41401																					2		1001							1																							
41401	414	2			1	1	41400	3		2	41402	3		2	41402	3		2	2	41450				5	100110																2		1001										1	100001	1																		
41402	414	3		1		1	41400	3											5	100110																																																					
41403	414	4				1	41401	3											5	100110																					1		Q414Poem1																														
41404	414	5			2	1	41402	3		1	41403	3		1	41403	3			2	41422																					2		1001							1																							
41405	414	6			1	1	41404	3		2	41406	3		2	41406	3		2	2	41455				5	100111																2		1001										1	100001	1																		
41406	414	7		1		1	41404	3											5	100111																																																					
41407	414	8				1	41405	3											5	100111																					1		Q414Poem2																														
41408	414	9			2	1	41406	3		1	41407	3		1	41407	3			2	41433																					2		1001							1																							
41409	414	10			1	1	41408	3		2	41410	3		2	41410	3		2	2	41459				5	100112																2		1001										1	100001	1																		
41410	414	11		1		1	41408	3											5	100112																																																					
41411	414	12				1	41409	3											5	100112																					1		Q414Poem3																														
41412	414	13			2	1	41410	3		1	41411	3		1	41411	3			2	41446																					2		1001						1	1																							
41501	415	1				1	40305	3											17	1005																																																					
41502	415	2				1	41501	3											2	41503																														1																							
41503	415	3				1	41502	3											5	100115													8	41503																																							
41504	415	4				1	41503	4											2	41505																																	14	41502																			
41505	415	5				1	41503	3											2	41506																													1	1			1	100115																			
41601	416	1		1															4	41601																														1																							
41602	416	2		1		1	41601	3											4	41602																														1			14	41601																			
41801	418	1		1		1	35311	3										2	20			JZquest	1	6	1071																																																
41802	418	2				1	41801	3											20			jianzhong	1																		2		1216							1																							
41803	418	3				1	41802	3											20			JZFinal	1																		1		DUMMY_POS 3001262						1	1																							
41901	419	1		1		1	41802	3											20			yincang	1																		1		Q418_Sun	20					1	1			15	3	133001109																		
42001	420	1		1		1	41802	3											20			yincang	1																		1		Q418_Sleep	20					1	1			15	3	133001109																		
42201	422	1		1		1	41802	3											20			yincang	1																		1		Q418_Meat	20					1	1			15	3	133001109																		
42301	423	1		1		1	35311	3											6	1074																							Q418_Meat	20																													
42302	423	1				1	42301	3											7	133001166																													1	1																							
42401	424	1		1															17	1013																																																					
42402	424	2				1	42401	3											2	42403																														1			1	100175	9	1	100176	9	1	100115	9												
42403	424	3				1	42402	3											5	100115													8	42403																																							
42404	424	6				1	42403	4											4	42404													8	42404																			14	42402								14	42402										
42405	424	7				1	42403	3											2	42406																													1	1			1	100175	9	1	100176	9	1	100115	9												
42406	424	4				1	42402	3											5	100175																																																					
42407	424	5				1	42402	3											5	100176																																																					
42501	425	1		1															17	1015																																																					
42502	425	2				1	42501	3											2	42503																														1																							
42503	425	3				1	42502	3											4	42503																														1																							
42504	425	4				1	42503	3											2	42506																													1																								
42601	426	1		1		1	35802	3											4	42601																														1																							
42602	426	2		1		1	42601	3											4	42602													8	42602															1				14	42601								14	42601										
42701	427	1				1	99902	3											2	42702																														1																							
42702	427	2				1	42701	3											4	42702													8	42702																1																							
42703	427	3				1	42702	4											4	42703																														1			14	42701																			
42704	427	4				1	42702	3											2	42705																																																					
42705	427	5				1	42704	3											4	42705																													1	1																							
45101	451	1				1	99902	3											6	1051																					1		Q451WolfRunStart							1																							
45102	451	2				1	45101	3											2	45101																					1		Q451WolfRunStart										7	133004007																			
45103	451	3				1	45102	3											7	133004007																					1		Q451WolfRunStart																														
45104	451	4				1	45103	3											2	45103																					1		Q451WolfRunStart						1																								
45201	452	1				1	45104	3											2	45201																					1		Q452AmborBorn																														
45202	452	2				1	45201	3											6	1052																					1		Q452AmborFight							1			7	133002091																			
45203	452	3				1	45202	3											2	45202																					1		Q452AmborFight										7	133002091																			
45204	452	4				1	45203	3											7	133002091																					1		Q452FightFarmer																														
45205	452	5				1	45204	3											2	45203																					1		Q452FightFarmer						1	1																							
45301	453	1				1	45205	3											2	45301																					1		Q453FarmerOld							1																							
45302	453	2				1	45301	3										2	5	100155				5	100157																1		Q453PawHint	30									1	100155	1																		
45303	453	3				1	45302	3										2	5	100156				5	100157																1		Q453ShitHint	30									1	100156	1																		
45304	453	4				1	45303	3											5	100157																					1		Q453HairHint	30									1	100157	1																		
45305	453	5				1	45304	3											2	45302																					1		Q453HairHint																														
45306	453	6				1	45305	3											2	45303																					1		Q453FarmerOld						1																								
45401	454	1				1	45306	3											2	45401																					1		Q454Razor							1																							
45402	454	2				1	45401	3											2	45403																					1		Q454Razor										1	100016	1																		
45403	454	3				1	45402	3											2	45406																					1		Q454Razor							1																							
45404	454	4		1		1	45403	3																																	1		Q454WolfBoss																														
45405	454	5				1	45404	3											3	21010101																					1		Q454WolfBoss																														
45406	454	6				1	45405	3											2	45407																					1		Q454WolfBoss						1																								
46101	461	1				1	30904	3											2	46101																					2		1004		1004					1			19	3	133003204,2																		
46102	461	2				1	46101	3											6	1077																					1		Q46102Kaeya		3								19	3	133003204,1																		
46109	461	3		1		1	46102	3											2	46102																														1																							
46103	461	4				1	46109	3											2	46104																					1		Q461NPC	30	3					1																							
46104	461	5		1		1	46109	3											2	46104																																																					
46105	461	6		1		1	46109	3										2	2	46105																																																					
46106	461	7		1		1	46109	3										2	2	46106																																																					
46107	461	9				1	46103	3											2	46108																					2		1004		3				1	1																							
46201	462	1				1	46107	3											6	1063																					1		Q462NPC		3					1			7	133003204																			
46202	462	2				1	46201	3											7	133003204																					1		Q462NPC	30	3																												
46203	462	3				1	46202	3											2	46203																					2		1213		3					1	100171	1																					
46204	462	4		1		1	46203	3											5	100172																														1			15	3	133002202	19	3	133004902,1													19	3	133004902,2
46210	462	5		1		1	46204	3											2	46204																														1																							
46205	462	6				1	46203	3										2	5	100172				2	46205																																																
46208	462	7				1	46205	3											5	100172																					1		Q462Treasure1		3					1																					19	3	133004902,2
46206	462	8		1		1	46204	3											5	100173																													1	1																					19	3	133002173,1
46207	462	9				1	46204	3										2	5	100173				2	46207																																																
46209	462	10				1	46207	3											5	100173																					1		Q462PuzzleEnd		3					1																					19	3	133002173,1
46300	463	1				1	46206	3											2	46300																					2		1005		3					1																							
46301	463	2				1	46300	3											6	1076																					1		Q463Dungeon		3					1			2	3	52																		
46307	463	3		1		1	46301	3											2	46301																																																					
46302	463	4				1	46307	3											6	1064																					1		Q463Dungeon		3					1																					19	20016	220016008,1
46303	463	5		1		1	46302	3											2	46303																																	12	6		19	20016	220016008,2															
46304	463	6				1	46303	3											3	23040101													19	2000																												14	46302										
46305	463	7		1		1	46304	3										2	2	46305				2	46306																												1	100171	1	1	100172	1	1	100173	1												
46306	463	8		1		1	46302	3											4																																		15	20016	220016003																		
46308	463	9		1		1	46304	3											2	46305																													1				17	3	52																		
46401	464	1		1		1	99902	3											2	46401																																																					
46402	464	2				1	46401	3											2	46402																					1		Q464Square	40	3			1																									
46403	464	3				1	46402	3											2	46403																					1		Q464Smithy	40	3			1																									
46404	464	4				1	46403	3											2	46404																					1		Q464Flower	40	3			1																									
46405	464	5				1	46404	3											18	0		18,6																												1																							
46406	464	6				1	46405	3											6	1072													18	0	6,18						1		Q464Backdoor		3			1														14	46405										
46407	464	7				1	46406	3											2	46405																					2		1009		3	QuestTarget	2		1	1																							
46501	465	1				1	99902	3											18	0		6,18																																																			
46502	465	2				1	46407	3											17	1004																					1		QuestKnighthood		3			1																									
46503	465	3				1	46502	3											2	46501																					2		1218		1004	QuestTarget	2			1																							
46504	465	4				1	46503	3											6	1073																					1		Q383Mark		3			1																									
46505	465	5				1	46504	3											2	46502																					2		1009		3	QuestTarget	2			1																							
46506	465	6				1	46505	3											6	1078																					1		Q465DilucDungeon		3			1																									
46507	465	7				1	46506	3											2	46503																					2		1009		3	QuestTarget	2			1																							
46508	465	8				1	46507	3										2	9	2003				5	100174																1		Q465DilucDungeon		3			1		1			1	100174	1	12	4																
46509	465	9				1	46508	3										2	11	2003				3	22010201		1																																														
46510	465	10				1	46509	3											2	46504																					2		1009		3	QuestTarget	2			1																							
46514	465	11				1	46510	3											2	46509																																																					
46515	465	12		1		1	46510	3											4	46515																																																					
46516	465	13		1		1	46510	3											4	46516																																																					
46517	465	14		1		1	46510	3											4	46517																																																					
46518	465	15		1		1	46516	3											2	46513																																	14	46510																			
46519	465	16		1		1	46517	3											2	46514																																	14	46510																			
46511	465	17				1	46514	3										2	10	3				5	100174																									1			1	100174	1	20	4																
46512	465	18				1	46511	3											17	1004																					1		QuestKnighthood		3			1																									
46513	465	19				1	46512	3											2	46505																					2		1218		1004	QuestTarget	2		1	1																							
46601	466	1				1	46513	3											6	1079																					1		Q383Mark		3			1																									
46602	466	2				1	46601	3											2	46601																					2		1009		3	QuestTarget	2			1																							
46603	466	3				1	46602	3										2	10	3				6	1080																1		Q466Lure1		3			1					19	3	133002233,1																		
46621	466	4				1	46603	3											5	100052			3																		1		Q466BingWuHua	20	3			1																									
46622	466	5				1	46621	3											2	46609																					2		1009		3	QuestTarget	2			1																							
46604	466	6				1	46622	3											5	100177																					1		Q466Lure1		3			1		1			1	100177	1																		
46605	466	7				1	46604	3											2	46602																					2		1009		3	QuestTarget	2			1			12	4		19	3	133002035,2	19	3	133002227,2												
46606	466	8				1	46605	3											20			3002035	1										20		133002227	1					1		Q466Lure1		3			1					20	4		19	3	133002035,1	19	3	133002227,1	14	46604		19	3	133002035,1	19	3	133002227,1			
46607	466	9				1	46606	3											2	46603																					2		1009		3	QuestTarget	2			1																							
46608	466	10				1	46607	3											17	1009																					1		QuestBarEnter		3			1		1																					10	0	
46609	466	11				1	46608	3											18	0		18,6											8	46609																			10	1								14	46608										
46610	466	12				1	46609	3											2	46604													8	46610							2		1009		1009	QuestTarget	2			1												14	46608										
46620	466	13				1	46610	3											10	3													8	46620							1		Q466Lure2		3			1														14	46608										
46611	466	14				1	46620	3											5	100177													8	46611							1		Q466Lure2		3			1					1	100177	1							14	46608										
46619	466	15		1		1	46611	4											4																																		14	46610																			
46612	466	16				1	99902	3											17	1009													8	46612							1		QuestBarEnter		3			1		1												14	46608										
46613	466	17				1	46611	3											2	46605													8	46613							2		1009		1009	QuestTarget	2			1			12	4		19	3	133004118,2				14	46608										
46614	466	18				1	99902	3											6	1081													8	46614							1		Q466FrontDoor		3			1		1			12	4		19	3	133004118,2				14	46608										
46615	466	19				1	46613	3											20			133004118	5										8	46615							1		Q466Monster4		3			1					20	4								14	46608										
46616	466	20				1	46615	3											2	46606													8	46616							2		1009		3	QuestTarget	2			1												14	46608										
46617	466	21				1	46616	3											17	1009													8	46617							1		QuestBarEnter		3			1														14	46608										
46618	466	22				1	46617	3											2	46607													8	46618							2		1218		1009	QuestTarget	2		1	1			10	0								14	46608										
46701	467	1		1		1	36004	3											6	1093																														1																							
46702	467	2		1		1	46701	3											2	46701																														1																							
46703	467	3		1		1	46702	3											22			46710,46711,46712,46713																											1	1																							
46801	468	1		1															2	46802																														1																							
46802	468	2		1		1	46801	3											20			133002225	1										20		133002226	1													1				19	3	133002225,2	19	3	133002143,2				14	46801		19	3	133002225,2				19	3	133002225,1
46904	469	1		1	1	1	35104	3		2	31101	3							5	107001	1												2	30902																																							
46901	469	1		1	2	1	31101	3		1	46904	3							6	1096																					1		Q469Paimon1		3			1																									
46902	469	2			2	1	31101	3		1	46904	3							109	2		3,1																			1		Q469Paimon1		3			1																									
46903	469	3				1	46902	3										2	2	46901				2	46902																2		1005		3	QuestTarget	2		1	1																							
47001	470	1		1		1	35901	3											6	1106																																																					
47002	470	2		1		1	47001	3											2	47001																																																					
47003	470	3		1		1	47002	3											5	108053																														1																							
47004	470	4		1		1	47003	3											2	47002																													1	1																							
48401	484	1				1	99902	3											4	48401																					1		Q484Ambor		3					1																							
48402	484	2				1	48401	3											2	48402																														1																					18	100210:1,100211:1,100212:1	
48403	484	3				1	48402	3											5	100210																					1		Q48403		3																												
48404	484	4			1	1	48403	3		2	48407	3							2	48404																																																					
48405	484	5				1	48402	3											5	100211																					1		Q48405		3																												
48406	484	6				1	48405	3											2	48406																																																					
48407	484	7				1	48402	3											5	100212																					1		Q48407		3																												
48408	484	8			1	1	48407	3		2	48403	3							2	48408																																																					
48409	484	9			1	1	48407	3		1	48403	3		1	48404	3			2	48409																																																					
48410	484	10			1	1	48407	3		1	48403	3		1	48408	3			2	48410																																																					
48411	484	11				1	48402	3											4	48411																																																					
48412	484	12				1	48402	3											2	4840904																																																					
48413	484	13				1	48412	3											4	48412																					1		Q48412	30	3					1																							
48414	484	14				1	48413	3											2	48413																					1		Q48413		3																												
48415	484	15				1	48414	3											4	48414																					1		Q48414	30	3																												
48416	484	16				1	48415	3										1	3	21010201				3	21010301																1		Q48414	30	3																												
48417	484	17				1	48416	3											2	48416																					1		Q48415Mon2		3																												
48418	484	18				1	48417	3											4	48417																					1		Q484Print1	30	3																												
48419	484	19				1	48418	3											4	48418																					1		Q484Print2	30	3																												
48420	484	20				1	48419	3											4	48419																					1		Q484Print3	30	3																												
48421	484	21				1	48420	3											4	48420																					1		Q484Print4	30	3																												
48422	484	22				1	48421	3											4	48421																					1		Q484Print5	30	3																												
48423	484	23				1	48422	3											2	48422																																																					
48424	484	24				1	48402	3											2	4840903																																																					
48425	484	25				1	48424	3											18	0		0,24																												1																							
48426	484	26				1	48425	3											22			48423,48424,48429,48432																																																			
48427	484	27				1	48425	3											22			48425,48426,48430,48433																																																			
48428	484	28				1	48425	3											22			48427,48428,48431,48434																																																			
48429	484	29			1	1	48426	3		1	48427	3		1	48428	3			4	48429																																																					
48430	484	30				1	48425	3											4	48430																																																					
48431	484	31				1	48430	3											4	48431																																																					
48432	484	32				1	48431	3											2	48435																																	14	48401																			
99401	994	1				1	99902	3											4																														1	1																							
99501	995	1				1	99902	3											4																						1		QuestChurchMark							1																							
99502	995	2				1	99501	3											4																						1		QuestChurchMark							1																							
99601	996	1				1	99902	3											4																						1		QuestChurchMark							1																							
99602	996	2				1	99601	3											4																						1		QuestChurchMark						1	1																							
99701	997	1				1	99902	3											2	99701																													1																								
99801	998	1				1	40305	3											2	99801																					1		Q351FirstClimb	50						1																							
99802	998	2				1	99801	3											4	99802													8	99802							1		Q351FirstClimb	100																													
99803	998	3				1	99802	3											2	99802													2	99803																1												14	99801										
99804	998	4				1	99803	3											4	99804													8	99804																																							
99805	998	5				1	99804	3											2	99804													2	99805															1	1												14	99803										
99901	999	1				1	40305	3											2	99902																																																					
99902	999	2				1	99901	3											2	99908																													1																								
