子任务ID	父任务ID	序列	禁止进入联机	显示状态	屏蔽项	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	Desc
38001	380	1					1	37904	3											4	38001																					1		DUMMY_POS 3003390	40	3			1			1			15	3	133003151																			QuestData_Desc_38001
38002	380	2					1	38001	3											7	133003151																					1		DUMMY_POS 3003390	40	3			1																											QuestData_Desc_38002
38003	380	3					1	38002	3											5	100158																					1		Quest380		3	QuestTarget	1				1																								QuestData_Desc_38003
38004	380	4		1			1	38003	3											2	38004																													1		1																								QuestData_Desc_38004
38101	381	1					1	37904	3											4	38101																					1		Q381DragonTill		3						1			1	100160	1																			QuestData_Desc_38101
38102	381	2					1	38101	3											9	10	40																				1		Q381DragonTill		3						1																								QuestData_Desc_38102
38103	381	3					1	38102	3											20			DragonTear	1										19	10							1		DUMMY_POS 1006001		1006						1												14	38101											QuestData_Desc_38103
38104	381	4					1	38103	3											5	100160													19	10							1		DUMMY_POS 1006002		1006						1												14	38101											QuestData_Desc_38104
38105	381	5		1			1	38104	3											2	38105													19	10															1		1												14	38101											QuestData_Desc_38105
38201	382	1					1	37904	3										2	6	1065				6	1066																1		Q382DragonTill		3						1																								QuestData_Desc_38201
38202	382	2					1	38201	3											5	100159																					1		Q382DragonTillChest		3	QuestTarget	1				1																					19	3	133001249,2	QuestData_Desc_38202
38203	382	3		1			1	38202	3											4	38203																													1		1																								QuestData_Desc_38203
38301	383	1				1	1	38004	3		1	38105	3		1	38202	3			6	1035																					1		Q383Mark		3																														QuestData_Desc_38301
38302	383	2					1	38301	3											2	38302																					2		1006		3	QuestTarget	2				1																								QuestData_Desc_38302
38303	383	3					1	38302	3											4																						2		1001		3	QuestTarget	2				1	100163	1	1	100162	1	18	100158:1,100159:1,100160:1																	QuestData_Desc_38303
38304	383	4		1			1	38303	3											2	38304																					2		1006		3	QuestTarget	2		1		1																								QuestData_Desc_38304
38401	384	1		1			1	38304	3											18	0		0,24																													1																								QuestData_Desc_38401
38402	384	2					1	38401	3											4	38402																					1		Q384Trigger		3						1												14	38401											QuestData_Desc_38402
38403	384	3					1	38402	3											2	38402																					2		1001		3	QuestTarget	2				1																								QuestData_Desc_38403
38404	384	4		1			1	38403	3											4	38404																					1		Q384WendyTemp		3						1																								QuestData_Desc_38404
38405	384	5		1			1	38404	3											2	38404																					2		1001		3	QuestTarget	2				1																								QuestData_Desc_38405
38406	384	6					1	38405	3											2	38408																					2		1009		3	QuestTarget	2				1																								QuestData_Desc_38406
38407	384	7		1			1	38406	3											4	38407																					1		Q384Wizard	15	3			1			1																								QuestData_Desc_38407
38408	384	8					1	38407	3											4	38408																					1		Q384Wizard	15	3			1			1																								QuestData_Desc_38408
38409	384	9					1	38408	3											7	133002233																					1		Q384WizardMark	15	3			1																								19	3	133002233,2	QuestData_Desc_38409
38410	384	10					1	38409	3											2	38406																					2		1009		3	QuestTarget	2		1		1																								QuestData_Desc_38410
38806	388	1					1	38410	3											6	1062																					1		Q388Mark1		3						1																								QuestData_Desc_38806
38801	388	2		1			1	38806	3											4																																			7	133004015																				QuestData_Desc_38801
38802	388	3					1	38801	3											7	133004015													21								1		Q388Mark2	20	3																														QuestData_Desc_38802
38805	388	4		1			1	38802	4											4	38805																																		14	38806																				QuestData_Desc_38805
38803	388	5					1	38802	3											4	38803																															1			15	3	133007001																			QuestData_Desc_38803
38804	388	6		1			1	38803	3											4	38804																													1																										QuestData_Desc_38804
38901	389	1		1			1	38804	3											6	1045																																																							QuestData_Desc_38901
38902	389	2					1	38804	3											6	1046																					1		Q389Target1		3						1																								QuestData_Desc_38902
38903	389	3		1			1	38902	3											2	38903																																																							QuestData_Desc_38903
38909	389	4					1	38903	3											6	1099																					1		Q389Target6		3	QuestTarget	1				1																								QuestData_Desc_38909
38907	389	5					1	38909	3											6	1097																					1		Q389Target4		3	QuestTarget	1				1																								QuestData_Desc_38907
38904	389	6					1	38907	3											6	1047																					1		Q389Target2		3	QuestTarget	1				1																								QuestData_Desc_38904
38908	389	7					1	38904	3											6	1098																					1		Q389Target5		3	QuestTarget	1				1																								QuestData_Desc_38908
38905	389	8					1	38908	3											6	1092																					1		Q389VentiPos2		3	QuestTarget	1				1																								QuestData_Desc_38905
38906	389	9		1			1	38905	3											2	38906																													1																										QuestData_Desc_38906
39001	390	1		1			1	38906	3											6	1082																																																							QuestData_Desc_39001
39002	390	2					1	38906	3											6	1089																					1		Q390OrganPos		3			1			1																								QuestData_Desc_39002
39003	390	3		1			1	39002	3										2	2	39003				2	39103			2	39203																																														QuestData_Desc_39003
39009	390	4		1			1	39002	3											4	39009																																		15	3	133007011																			QuestData_Desc_39009
39010	390	5					1	39003	3											4	39010																					1		Q390Target1	80	3																														QuestData_Desc_39010
39004	390	6					1	39003	3											20			300701101	1																																																				QuestData_Desc_39004
39005	390	7					1	39003	3											20			300701102	1																																																				QuestData_Desc_39005
39006	390	8					1	39003	3											20			300701103	1																																																				QuestData_Desc_39006
39011	390	9		1			1	39003	3											4	39011																															1																								QuestData_Desc_39011
39007	390	10		1		1	1	39004	3		1	39005	3		1	39006	3			4	39007																					1		Q390OrganPos		3						1			15	3	133007011																			QuestData_Desc_39007
39008	390	11					1	39007	3											20			133007124	1																		1		Q390OrganPos		3			1	1		1			15	3	133007052	15	3	133007011																QuestData_Desc_39008
39101	391	1		1			1	38906	3											6	1083																																																							QuestData_Desc_39101
39102	391	2					1	38906	3											6	1090																					1		Q391OrganPos		3			1			1																								QuestData_Desc_39102
39103	391	3		1			1	39102	3										2	2	39003				2	39103			2	39203																																														QuestData_Desc_39103
39109	391	4		1			1	39102	3											4	39109																																		15	3	133007009																			QuestData_Desc_39109
39110	391	5					1	39103	3											4	39110																					1		Q391Target1	80	3																														QuestData_Desc_39110
39104	391	6					1	39103	3											20			300700901	1																																																				QuestData_Desc_39104
39105	391	7					1	39103	3											20			300700902	1																																																				QuestData_Desc_39105
39106	391	8					1	39103	3											20			300700903	1																																																				QuestData_Desc_39106
39111	391	9		1			1	39103	3											4	39111																															1																								QuestData_Desc_39111
39107	391	10		1		1	1	39104	3		1	39105	3		1	39106	3			4	39107																					1		Q391OrganPos		3						1			15	3	133007009																			QuestData_Desc_39107
39108	391	11					1	39107	3											20			133007113	1																		1		Q391OrganPos		3			1	1		1			15	3	133007052	15	3	133007009																QuestData_Desc_39108
39201	392	1		1			1	38906	3											6	1084																																																							QuestData_Desc_39201
39202	392	2					1	38906	3											6	1091																					1		Q392OrganPos		3			1			1																								QuestData_Desc_39202
39203	392	3		1			1	39202	3										2	2	39003				2	39103			2	39203																																														QuestData_Desc_39203
39209	392	4		1			1	39202	3											4	39209																																		15	3	133007012																			QuestData_Desc_39209
39210	392	5					1	39203	3											4	39210																					1		Q392Target1	80	3																														QuestData_Desc_39210
39204	392	6					1	39203	3											20			300701201	1																																																				QuestData_Desc_39204
39205	392	7					1	39203	3											20			300701202	1																																																				QuestData_Desc_39205
39206	392	8					1	39203	3											20			300701203	1																																																				QuestData_Desc_39206
39211	392	9		1			1	39203	3											4	39211																															1																								QuestData_Desc_39211
39207	392	10		1		1	1	39204	3		1	39205	3		1	39206	3			4	39207																					1		Q392OrganPos		3						1			15	3	133007012																			QuestData_Desc_39207
39208	392	11					1	39207	3											20			133007126	1																		1		Q392OrganPos		3			1	1		1			15	3	133007052	15	3	133007012																QuestData_Desc_39208
39301	393	1				1	1	39008	3		1	39108	3		1	39208	3			4	39301																																		15	3	133007029																			QuestData_Desc_39301
39302	393	2					1	39301	3											6	1092																					1		Q389VentiPos2		3						1																								QuestData_Desc_39302
39303	393	3		1			1	39302	3											2	39301																													1																										QuestData_Desc_39303
39401	394	1					1	39303	3											9	2001	38																				2		1001		3	QuestTarget	2	2			1																					2	3	38	QuestData_Desc_39401
39404	394	2					1	39401	3											9	2002												2	19	2001			10	3													1			12	5								14	39401											QuestData_Desc_39404
39402	394	3					1	39404	3											3	29010102													19	2002																	1			20	5		17	3	38				14	39401											QuestData_Desc_39402
39403	394	4		1			1	39402	3											4	39403																													1		1																								QuestData_Desc_39403
39601	396	1					1	39402	3											4																																1			15	3	133007183	22	70020002	0																QuestData_Desc_39601
39602	396	2					1	39601	3											2	39602																					2		1008		1008	QuestTarget	2				1																								QuestData_Desc_39602
39603	396	3					1	99902	3											2	39603																																																							QuestData_Desc_39603
39604	396	4		1			1	39602	3											2	39604																													1																										QuestData_Desc_39604
39605	396	5					1	99902	3											10	3																																																							QuestData_Desc_39605
39606	396	6					1	39605	3											2	39606																																																							QuestData_Desc_39606
40101	401	1		1			1	40305	3											2	40101																																																							QuestData_Desc_40101
40102	401	2					1	40101	3											5	100004			1																		1		Q401Treasure																																QuestData_Desc_40102
40103	401	3					1	40102	3											2	40103																					2		1101											1	100004	1																			QuestData_Desc_40103
40104	401	4					1	40103	3											4	4002																					2		1101																																QuestData_Desc_40104
40105	401	5					1	40104	3											2	40105																					2		1101																																QuestData_Desc_40105
40106	401	6					1	40105	3											3	20011301			1																		2		1101						1																										QuestData_Desc_40106
40201	402	1		1			1	40305	3											2	40201																																																							QuestData_Desc_40201
40202	402	2					1	40201	3											3	21010301			4																		1		Q402Hostage																																QuestData_Desc_40202
40203	402	3					1	40202	3											2	40203																					2		1151																																QuestData_Desc_40203
40204	402	4					1	40203	3											5	100006			1																		1		Q402Key																																QuestData_Desc_40204
40205	402	5					1	40204	3											2	40205																					2		1151						1					1	100006	1																			QuestData_Desc_40205
40300	403	1					1	30902	4											2	40301																					2		1105																																QuestData_Desc_40300
40301	403	2		1			1	30902	4											2	40302																																																							QuestData_Desc_40301
40302	403	3					1	40301	3										2	4	40302				5	100007		1														1		Q403Finish							1																									QuestData_Desc_40302
40303	403	4					1	40302	4											2	40304																					2		1105																																QuestData_Desc_40303
40304	403	5					1	40302	3											2	40305																					2		1105						1					1	100007	1																			QuestData_Desc_40304
40305	403	6		1			1	40303	3											4	40305																																																							QuestData_Desc_40305
40400	404	1					1	40305	3		7	3	1	2						2	40458																					2		1002																																QuestData_Desc_40400
40401	404	2					1	40400	3											2	40403																					2		1002								1																								QuestData_Desc_40401
40402	404	3					1	40401	3											4	40402													8	40402							1		Q404AmborStart																																QuestData_Desc_40402
40403	404	4					1	40402	4											2	40405																					2		1002																																QuestData_Desc_40403
40404	404	5					1	40402	3											2	40406																					2		1002								1																								QuestData_Desc_40404
40405	404	6		1			1	40403	3											4	40405													8	40405																													14	40401											QuestData_Desc_40405
40406	404	7					1	40404	3											2	40409																															1																								QuestData_Desc_40406
40407	404	8					1	40406	3											4	40407													8	40407							1		Q404AmborStart																																QuestData_Desc_40407
40408	404	9					1	40407	4											2	40411																					2		1002																																QuestData_Desc_40408
40409	404	10					1	40407	3											2	40415																					2		1002						1		1			4	3	2,3																			QuestData_Desc_40409
40410	404	11		1			1	40408	3											4	40410													8	40410																													14	40406											QuestData_Desc_40410
40501	405	1					1	40409	3											2	40502																					2		1002								1																								QuestData_Desc_40501
40502	405	2					1	40501	3											4	40502													8	40502							1		Q405DrunkJudge																																QuestData_Desc_40502
40503	405	3					1	40502	4											2	40504																					2		1002																																QuestData_Desc_40503
40504	405	4					1	40502	3											2	40505																					2		1002						1		1																								QuestData_Desc_40504
40505	405	5		1			1	40503	3											4	40505													8	40505																													14	40501											QuestData_Desc_40505
40601	406	1					1	40504	3											2	40603																					2		1002								1			4	3	18,19,20,21,22,23,24,25																			QuestData_Desc_40601
40602	406	2					1	40601	3											4	40602													8	40602							2		1002																																QuestData_Desc_40602
40603	406	3					1	40602	4											2	40605																					2		1002											5	3	18,19,20,21,22,23,24,25																			QuestData_Desc_40603
40604	406	4					1	40602	3											2	40606																					2		1002						1		1	100010	1	5	3	18,19,20,21,22,23,24,25																			QuestData_Desc_40604
40605	406	5		1			1	40603	3											4	40605													8	40605																													14	40601											QuestData_Desc_40605
40701	407	1		1			1	35724	3											2	40702																					2		1105								1																								QuestData_Desc_40701
40702	407	2					1	40701	3										2	13	9				4	40702								8	40702							2		1105																																QuestData_Desc_40702
40703	407	3					1	40702	4											2	40704																					2		1105																																QuestData_Desc_40703
40704	407	4					1	40702	3											2	40705																					2		1105						1		1																								QuestData_Desc_40704
40705	407	5		1			1	40703	3											4	40705													8	40705																													14	40701											QuestData_Desc_40705
40801	408	1		1			1	35724	3											2	40801																					2		1116								1																								QuestData_Desc_40801
40802	408	2		1			1	40801	3											2	40802																					2		1116																																QuestData_Desc_40802
40803	408	3		1			1	40801	3											2	40803																					2		1116																																QuestData_Desc_40803
40804	408	4		1		2	1	40802	3		1	40803	3		1	40803	3			2	40804																					2		1116																																QuestData_Desc_40804
40805	408	5		1			1	40804	3											4	40805													8	40805																													14	40801											QuestData_Desc_40805
40806	408	6		1		2	1	40802	3		1	40803	3		1	40803	3			2	40805																					2		1116																																QuestData_Desc_40806
40807	408	7					1	40806	3											4	40807													8	40807							1		Q408KeyPos																																QuestData_Desc_40807
40808	408	8					1	40807	4											2	40807																					2		1116																																QuestData_Desc_40808
40809	408	9					1	40807	3											2	40808																					2		1116						1																										QuestData_Desc_40809
40810	408	10		1			1	40808	3											4	40810													8	40810																													14	40801											QuestData_Desc_40810
40901	409	1		1			1	35724	3											2	40907																					2		1117								1																								QuestData_Desc_40901
40902	409	2		1			1	40901	3											4	40902													8	40902							2		1117																																QuestData_Desc_40902
40903	409	3					1	40902	4											2	40905																					2		1117																																QuestData_Desc_40903
40904	409	4					1	40902	3											2	40906																					2		1117						1		1																								QuestData_Desc_40904
40905	409	5		1			1	40903	3											4	40905													8	40905																													14	40901											QuestData_Desc_40905
41001	410	1		1			1	35724	3											2	41006																																																							QuestData_Desc_41001
41002	410	2					1	41001	3											5	100114																					1		Q410Medicine																																QuestData_Desc_41002
41003	410	3					1	41002	3											2	41008																					2		1118											1	100114	1																			QuestData_Desc_41003
41004	410	4					1	41003	3											2	41009																					2		1119						1																										QuestData_Desc_41004
41101	411	1		1			1	40305	3											2	41103																																																							QuestData_Desc_41101
41102	411	2					1	41101	3											5	100101																					1		Q411QinFilesPos																																QuestData_Desc_41102
41103	411	3					1	41102	3											2	41105																					2		1007											1	100101	1																			QuestData_Desc_41103
41104	411	4					1	41103	3											5	100102																					1		Q411JourneyNotes																																QuestData_Desc_41104
41105	411	5					1	41104	3											2	41107																					2		1007																																QuestData_Desc_41105
41106	411	6					1	41105	3											6	1011																					1		Q411LoversCape																																QuestData_Desc_41106
41107	411	7					1	41106	3											6	1012																					1		Q411LoversCape																																QuestData_Desc_41107
41108	411	8					1	41107	3											2	41109																					2		1006								1																								QuestData_Desc_41108
41109	411	9					1	41108	3											5	100103																					1		Q411LoversCape																																QuestData_Desc_41109
41110	411	10					1	41109	3											2	41111																					2		1006																																QuestData_Desc_41110
41111	411	11					1	41110	3											2	41112																					2		1007									100105	1																						QuestData_Desc_41111
41112	411	12					1	41111	3											2	41113																					2		1006											1	100105	1																			QuestData_Desc_41112
41113	411	13					1	41112	3											2	41114																					2		1006																																QuestData_Desc_41113
41114	411	14					1	41113	3											2	41115																					2		1107								1	100104	1																						QuestData_Desc_41114
41115	411	15					1	41114	3											2	41116																					2		1006								1			1	100103	1	1	100104	1																QuestData_Desc_41115
41116	411	16					1	41115	3											2	41117																					2		1006						1		1																								QuestData_Desc_41116
41200	412	1					1	40305	3											2	41203																					2		1004								1																								QuestData_Desc_41200
41201	412	2					1	41200	3											2	41205																					2		1004																																QuestData_Desc_41201
41202	412	3					1	41201	3											2	41207																					2		1004								1			7	133003058																				QuestData_Desc_41202
41203	412	4					1	41202	3										1	7	133003058				8	41203																1		Q412QuestCenter1																																QuestData_Desc_41203
41204	412	5					1	41203	3											2	41210																					2		1004																																QuestData_Desc_41204
41205	412	6					1	41204	3											2	41216																					2		1004								1			7	133003006																				QuestData_Desc_41205
41206	412	7					1	41205	3										1	7	133003006				8	41206																1		Q412QuestCenter2																																QuestData_Desc_41206
41207	412	8					1	41206	3											2	41219																					2		1004																																QuestData_Desc_41207
41208	412	9					1	41207	3											2	41228																					2		1004								1			7	220008004																				QuestData_Desc_41208
41209	412	10					1	41208	3											7	220008004																					1		Q412GaiaAnswer																																QuestData_Desc_41209
41210	412	11					1	41209	3											2	41232																					2		1004						1																										QuestData_Desc_41210
41301	413	1		1			1	40305	3											5	100107																																																							QuestData_Desc_41301
41302	413	2					1	41301	3											2	41301																					2		1007									100108	1																						QuestData_Desc_41302
41303	413	3					1	41302	3											2	41302																					2		1008									100109	1																						QuestData_Desc_41303
41304	413	4					1	41303	3											4	41302													8	41302							2		1008																																QuestData_Desc_41304
41305	413	5					1	41304	3											2	41303																					2		1008											1	100108	1																			QuestData_Desc_41305
41306	413	6					1	41305	3											4	41306													8	41306							2		1108																																QuestData_Desc_41306
41307	413	7					1	41306	3											2	41304																					2		1108																																QuestData_Desc_41307
41308	413	8					1	41307	3											2	41306																					2		1008																																QuestData_Desc_41308
41309	413	9					1	41308	3											9	7																					1		Q413BarbaraHide																																QuestData_Desc_41309
41310	413	10					1	41309	3											7	220006005																																																							QuestData_Desc_41310
41311	413	11					1	41310	3											2	41307																					2		1109																																QuestData_Desc_41311
41312	413	12					1	41311	3											2	41308																					2		1109									13003	1																						QuestData_Desc_41312
41313	413	13					1	41312	3											2	41309																					2		1008																																QuestData_Desc_41313
41314	413	14					1	41313	3											10	3																																																							QuestData_Desc_41314
41315	413	15					1	41314	3											2	41310																					2		1008																																QuestData_Desc_41315
41316	413	16					1	41315	3											2	41311																					2		1007						1																										QuestData_Desc_41316
41400	414	1					1	40305	3											2	41401																					2		1001								1																								QuestData_Desc_41400
41401	414	2				1	1	41400	3		2	41402	3		2	41402	3		2	2	41450				5	100110																2		1001											1	100001	1																			QuestData_Desc_41401
41402	414	3		1			1	41400	3											5	100110																																																							QuestData_Desc_41402
41403	414	4					1	41401	3											5	100110																					1		Q414Poem1																																QuestData_Desc_41403
41404	414	5				2	1	41402	3		1	41403	3		1	41403	3			2	41422																					2		1001								1																								QuestData_Desc_41404
41405	414	6				1	1	41404	3		2	41406	3		2	41406	3		2	2	41455				5	100111																2		1001											1	100001	1																			QuestData_Desc_41405
41406	414	7		1			1	41404	3											5	100111																																																							QuestData_Desc_41406
41407	414	8					1	41405	3											5	100111																					1		Q414Poem2																																QuestData_Desc_41407
41408	414	9				2	1	41406	3		1	41407	3		1	41407	3			2	41433																					2		1001								1																								QuestData_Desc_41408
41409	414	10				1	1	41408	3		2	41410	3		2	41410	3		2	2	41459				5	100112																2		1001											1	100001	1																			QuestData_Desc_41409
41410	414	11		1			1	41408	3											5	100112																																																							QuestData_Desc_41410
41411	414	12					1	41409	3											5	100112																					1		Q414Poem3																																QuestData_Desc_41411
41412	414	13				2	1	41410	3		1	41411	3		1	41411	3			2	41446																					2		1001						1		1																								QuestData_Desc_41412
41501	415	1					1	40305	3											17	1005																																																							QuestData_Desc_41501
41502	415	2					1	41501	3											2	41503																															1																								QuestData_Desc_41502
41503	415	3					1	41502	3											5	100115													8	41503																																									QuestData_Desc_41503
41504	415	4					1	41503	4											2	41505																																		14	41502																				QuestData_Desc_41504
41505	415	5					1	41503	3											2	41506																													1		1			1	100115																				QuestData_Desc_41505
41601	416	1		1																4	41601																															1																								QuestData_Desc_41601
41602	416	2		1			1	41601	3											4	41602																															1			14	41601																				QuestData_Desc_41602
41801	418	1		1			1	35311	3										2	20			JZquest	1	6	1071																																																		QuestData_Desc_41801
41802	418	2					1	41801	3											20			jianzhong	1																		2		1216								1																								QuestData_Desc_41802
41803	418	3					1	41802	3											20			JZFinal	1																		1		DUMMY_POS 3001262						1		1																								QuestData_Desc_41803
41901	419	1		1			1	41802	3											20			yincang	1																		1		Q418_Sun	20					1		1			15	3	133001109																			QuestData_Desc_41901
42001	420	1		1			1	41802	3											20			yincang	1																		1		Q418_Sleep	20					1		1			15	3	133001109																			QuestData_Desc_42001
42201	422	1		1			1	41802	3											20			yincang	1																		1		Q418_Meat	20					1		1			15	3	133001109																			QuestData_Desc_42201
42301	423	1		1			1	35311	3											6	1074																							Q418_Meat	20																															QuestData_Desc_42301
42302	423	1					1	42301	3											7	133001166																													1		1																								QuestData_Desc_42302
42401	424	1		1																17	1013																																																							QuestData_Desc_42401
42402	424	2					1	42401	3											2	42403																															1			1	100175	9	1	100176	9	1	100115	9													QuestData_Desc_42402
42403	424	3					1	42402	3											5	100115													8	42403																																									QuestData_Desc_42403
42404	424	6					1	42403	4											4	42404													8	42404																				14	42402								14	42402											QuestData_Desc_42404
42405	424	7					1	42403	3											2	42406																													1		1			1	100175	9	1	100176	9	1	100115	9													QuestData_Desc_42405
42406	424	4					1	42402	3											5	100175																																																							QuestData_Desc_42406
42407	424	5					1	42402	3											5	100176																																																							QuestData_Desc_42407
42501	425	1		1																17	1015																																																							QuestData_Desc_42501
42502	425	2					1	42501	3											2	42503																															1																								QuestData_Desc_42502
42503	425	3					1	42502	3											4	42503																															1																								QuestData_Desc_42503
42504	425	4					1	42503	3											2	42506																													1																										QuestData_Desc_42504
42601	426	1		1			1	35802	3											4	42601																															1																								QuestData_Desc_42601
42602	426	2		1			1	42601	3											4	42602													8	42602															1					14	42601								14	42601											QuestData_Desc_42602
42701	427	1					1	99902	3											2	42702																															1																								QuestData_Desc_42701
42702	427	2					1	42701	3											4	42702													8	42702																	1																								QuestData_Desc_42702
42703	427	3					1	42702	4											4	42703																															1			14	42701																				QuestData_Desc_42703
42704	427	4					1	42702	3											2	42705																																																							QuestData_Desc_42704
42705	427	5					1	42704	3											4	42705																													1		1																								QuestData_Desc_42705
45101	451	1					1	99902	3											6	1051																					1		Q451WolfRunStart								1																								QuestData_Desc_45101
45102	451	2					1	45101	3											2	45101																					1		Q451WolfRunStart											7	133004007																				QuestData_Desc_45102
45103	451	3					1	45102	3											7	133004007																					1		Q451WolfRunStart																																QuestData_Desc_45103
45104	451	4					1	45103	3											2	45103																					1		Q451WolfRunStart						1																										QuestData_Desc_45104
45201	452	1					1	45104	3											2	45201																					1		Q452AmborBorn																																QuestData_Desc_45201
45202	452	2					1	45201	3											6	1052																					1		Q452AmborFight								1			7	133002091																				QuestData_Desc_45202
45203	452	3					1	45202	3											2	45202																					1		Q452AmborFight											7	133002091																				QuestData_Desc_45203
45204	452	4					1	45203	3											7	133002091																					1		Q452FightFarmer																																QuestData_Desc_45204
45205	452	5					1	45204	3											2	45203																					1		Q452FightFarmer						1		1																								QuestData_Desc_45205
45301	453	1					1	45205	3											2	45301																					1		Q453FarmerOld								1																								QuestData_Desc_45301
45302	453	2					1	45301	3										2	5	100155				5	100157																1		Q453PawHint	30										1	100155	1																			QuestData_Desc_45302
45303	453	3					1	45302	3										2	5	100156				5	100157																1		Q453ShitHint	30										1	100156	1																			QuestData_Desc_45303
45304	453	4					1	45303	3											5	100157																					1		Q453HairHint	30										1	100157	1																			QuestData_Desc_45304
45305	453	5					1	45304	3											2	45302																					1		Q453HairHint																																QuestData_Desc_45305
45306	453	6					1	45305	3											2	45303																					1		Q453FarmerOld						1																										QuestData_Desc_45306
45401	454	1					1	45306	3											2	45401																					1		Q454Razor								1																								QuestData_Desc_45401
45402	454	2					1	45401	3											2	45403																					1		Q454Razor											1	100016	1																			QuestData_Desc_45402
45403	454	3					1	45402	3											2	45406																					1		Q454Razor								1																								QuestData_Desc_45403
45404	454	4		1			1	45403	3																																	1		Q454WolfBoss																																QuestData_Desc_45404
45405	454	5					1	45404	3											3	21010101																					1		Q454WolfBoss																																QuestData_Desc_45405
45406	454	6					1	45405	3											2	45407																					1		Q454WolfBoss						1																										QuestData_Desc_45406
46101	461	1					1	30904	3											2	46101																					2		1004		1004						1			19	3	133003204,2																			QuestData_Desc_46101
46102	461	2					1	46101	3											6	1077																					1		Q46102Kaeya		3									19	3	133003204,1																			QuestData_Desc_46102
46109	461	3		1			1	46102	3											2	46102																															1																								QuestData_Desc_46109
46103	461	4					1	46109	3											2	46104																					1		Q461NPC	30	3						1																								QuestData_Desc_46103
46104	461	5		1			1	46109	3											2	46104																																																							QuestData_Desc_46104
46105	461	6		1			1	46109	3										2	2	46105																																																							QuestData_Desc_46105
46106	461	7		1			1	46109	3										2	2	46106																																																							QuestData_Desc_46106
46107	461	9					1	46103	3											2	46108																					2		1004		3				1		1																								QuestData_Desc_46107
46201	462	1					1	46107	3											6	1063																					1		Q462NPC		3						1			7	133003204																				QuestData_Desc_46201
46202	462	2					1	46201	3											7	133003204																					1		Q462NPC	30	3																														QuestData_Desc_46202
46203	462	3					1	46202	3											2	46203																					2		1213		3						1	100171	1																						QuestData_Desc_46203
46204	462	4		1			1	46203	3											5	100172																															1			15	3	133002202	19	3	133004902,1													19	3	133004902,2	QuestData_Desc_46204
46210	462	5		1			1	46204	3											2	46204																															1																								QuestData_Desc_46210
46205	462	6					1	46203	3										2	5	100172				2	46205																																																		QuestData_Desc_46205
46208	462	7					1	46205	3											5	100172																					1		Q462Treasure1		3						1																					19	3	133004902,2	QuestData_Desc_46208
46206	462	8		1			1	46204	3											5	100173																													1		1																					19	3	133002173,1	QuestData_Desc_46206
46207	462	9					1	46204	3										2	5	100173				2	46207																																																		QuestData_Desc_46207
46209	462	10					1	46207	3											5	100173																					1		Q462PuzzleEnd		3						1																					19	3	133002173,1	QuestData_Desc_46209
46300	463	1					1	46206	3											2	46300																					2		1005		3						1																								QuestData_Desc_46300
46301	463	2					1	46300	3											6	1076																					1		Q463Dungeon		3						1			2	3	52																			QuestData_Desc_46301
46307	463	3		1			1	46301	3											2	46301																																																							QuestData_Desc_46307
46302	463	4					1	46307	3											6	1064																					1		Q463Dungeon		3						1																					19	20016	220016008,1	QuestData_Desc_46302
46303	463	5		1			1	46302	3											2	46303																																		12	6		19	20016	220016008,2																QuestData_Desc_46303
46304	463	6					1	46303	3											3	23040101													19	2000																													14	46302											QuestData_Desc_46304
46305	463	7		1	2		1	46304	3										2	2	46305				2	46306																													1	100171	1	1	100172	1	1	100173	1													QuestData_Desc_46305
46306	463	8		1			1	46302	3											4																																			15	20016	220016003																			QuestData_Desc_46306
46308	463	9		1			1	46304	3											2	46305																													1					17	3	52																			QuestData_Desc_46308
46401	464	1		1			1	99902	3											2	46401																																																							QuestData_Desc_46401
46402	464	2					1	46401	3											2	46402																					1		Q464Square	40	3			1																											QuestData_Desc_46402
46403	464	3					1	46402	3											2	46403																					1		Q464Smithy	40	3			1																											QuestData_Desc_46403
46404	464	4					1	46403	3											2	46404																					1		Q464Flower	40	3			1																											QuestData_Desc_46404
