对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	演员NpcID	演出配置	对话主角处理
41430		1												41431,41432	4143001	1001		
41431		1												41433	4143101	1001		
41432		1												41433	4143201	1001		
41433		1													4143301	1001		
41435	2	1	2	1	41409	3	1	41410	2				1		4143501	1001		
41440	2	1		1	41412	2							1	41441,41442	4144001	1001		
41441		1												41443	4144101	1001		
41442		1												41443	4144201	1001		
41443		1												41444,41445	4144301	1001		
41444		1												41446	4144401	1001		
41445		1												41446	4144501	1001		
41446		1													4144601	1001		
41447	2	1	1	1	41401	2	2	41402	3				1	41448,41449,41451	4144701	1001		
41448		1		3	100001	1								41450	4144801	1001		
41449		1													4144901	1001		
41450		1													4145001	1001		
41451		1													4145101	1001		
41452	2	1	1	1	41405	2	2	41406	3				1	41453,41454,41451	4145201	1001		
41453		1		3	100001	1								41455	4145301	1001		
41454		1													4145401	1001		
41455		1													4145501	1001		
41456	2	1	1	1	41409	2	2	41410	3				1	41457,41458,41451	4145601	1001		
41457		1		3	100001	1								41459	4145701	1001		
41458		1													4145801	1001		
41459		1													4145901	1001		
41501	2	1		1	41502	2								41502,41503	4150101	1130		
41502		1													4150201	1130		
41503		1													4150301	1130		
41504	2	1		1	41503	2									4150401	1130		
41505	2	1	1	1	41503	4	2	41504	3						4150501	1130		
41506	2	1	1	1	41503	3	2	41505	3						4150601	1130		
41802	2	1													4180201	1216		
42401	2	1		1	42402	2								42402,42403	4240101	1220		
42402		1													4240201	1220		
42403		1													4240301	1220		
42404	2	1		1	42403	2									4240401	1220		
42405		1	1	1	42403	4	2	42404	3						4240501	1220		
42406	2	1	1	1	42403	3	2	42405	3						4240601	1220		
42407	2	1		1	42403	2									4240701	1221		
42408	2	1		1	42403	2									4240801	1222		
42409	2	1		1	42403	2									4240901	1223		
42410	2	1		1	42403	2									4241001	1224		
42411	2	1		1	42403	2									4241101	1225		
42412	2	1		1	42403	2									4241201	1226		
42413	2	1		1	42403	2									4241301	1227		
42414	2	1		1	42403	2									4241401	1228		
42415	2	1		1	42403	2									4241501	1229		
42416	2	1		1	42403	2									4241601	1230		
42417	2	1		1	42403	2									4241701	1231		
42418	2	1	1	1	42403	2	1	42406	3						4241801	1235		
42419	2	1	1	1	42403	2	1	42406	3						4241901	1236		
42420	2	1	1	1	42403	2	1	42406	3						4242001	1237		
42421	2	1	1	1	42403	2	1	42407	3						4242101	1238		
42422	2	1	1	1	42403	2	1	42407	3						4242201	1239		
42423	2	1	1	1	42403	2	1	42406	2						4242301	1235		
42424	2	1	1	1	42403	2	1	42406	2						4242401	1236		
42425	2	1	1	1	42403	2	1	42406	2						4242501	1237		
42426	2	1	1	1	42403	2	1	42407	2						4242601	1238		
42427	2	1	1	1	42403	2	1	42407	2						4242701	1239		
42502	2	1		1	42502	2								42503,42504	4250201	1160		
42503		1													4250202	1160		
42504		1													4250203	1160		
42505	2	1		1	42504	2								42506,42507	4250301	1160		
42506		1													4250302	1160		
42507		1													4250303	1160		
42701	2	1		1	42701	2								42702,42703	4270201	1002		
42702		1													4270202	1002		
42703		1													4270203	1002		
42704	2	1		1	42704	2								42705,42706	4270401	1002		
42705		1													4270402	1002		
42706		1													4270403	1002		
45101	1	1		1	45102	2							1		4510101	1005		
45103	1	1		1	45104	2								45104	4510301	1011		
45104		1													4510401	1005		
42601	2	1		1	42602	2									4260101	1005		
45201	2	1		1	45201	2							1		4520101	1002		
45202	1	1		1	45203	2									4520201	1002		
45203	1	1		1	45205	2									4520301	1151		
45301	2	1		1	45301	2									4530101	1167		
45302	1	1		1	45305	2									4530201	1174		
45303	1	1		1	45306	2									4530301	1002		
45401	2	1		1	45401	2									4540101	1011		
45402	2	1		1	45402	2								45403,45404,45405	4540201	1011		
45403		1		3	100016	1									4540301	1011		
45404		1													4540401	1011		
45405		1													4540501	1011		
45406	1	1		1	45403	2									4540601	1174		
45407	1	1		1	45406	2									4540701	1176		
46101	2	1		1	46101	2							5		4610101	1004	QuestDialogue/Q461/InterContainer_Q46101	1
46102	2	1		1	46109	2							5		4610201	1004	QuestDialogue/Q461/InterContainer_Q46102	1
46104	2	1		1	46104	2							1		4610404	1409	QuestDialogue/Q461/InterContainer_Q46104	1
46110	2	1		1	46104	2							1	46104	4610403	1409		1
46111	2	1	1	1	46104	3	1	46107	2				1	46112	4611101	1409		1
46112	2	1	1	1	46104	3	1	46107	2				1		4611201	1409		1
46105	2	1		1	46105	2	1	46107	2				1		4610513	1411	QuestDialogue/Q461/InterContainer_Q46105	1
46113	2	1	1	1	46105	3	1	46107	2				1		4611301	1411		1
46106	2	1		1	46106	2	1	46107	2				1		4610612	1413	QuestDialogue/Q461/InterContainer_Q46106	1
46114	2	1	1	1	46106	3	1	46107	2				1		4611401	1413		1
46108	1	1		1	46107	2							5		4610801	1004	QuestDialogue/Q461/InterContainer_Q46108	1
46109	2	1	1	1	46102	3	2	46103	3				4		4610901	1004		1
46202		1		1	46202	2							5		4620201	1213		1
46203	2	1		1	46203	2							5		4620301	1213	QuestDialogue/Q462/InterContainer_Q46203	1
46204	2	1	1	1	46210	2	1	46204	3				3		4620401	1005	QuestDialogue/Q462/InterContainer_Q46204	1
46205	2	1		1	46205	2							5		4620501	1004	QuestDialogue/Q462/InterContainer_Q46205	1
46207	2	1		1	46207	2							5		4620701	1004	QuestDialogue/Q462/InterContainer_Q46207	1
46208	2	1	1	1	46107	3	2	46203	3				4		4620801	1004		1
46209	2	1		1	46208	2							4		4620901	1004		1
46210	2	1		1	46209	2							4		4621001	1004		1
46211	2	1		1	46203	3							4		4621101	1213		
46300	2	1		1	46300	2							4		4630001	1005	QuestDialogue/Q463/InterContainer_Q46300	1
46301	2	1		1	46307	2							5		4630101	1005	QuestDialogue/Q463/InterContainer_Q46301	1
46303	2	1		1	46303	2							5		4630301	1005	QuestDialogue/Q463/InterContainer_Q46303	1
46305	2	1		1	46305	2							5		4630501	1005	QuestDialogue/Q463/InterContainer_Q46305	1
46306	2	1	1	1	46305	2	1	46205	2	1	46207	2	5		4630601	1005	QuestDialogue/Q463/InterContainer_Q46306	1
46401	2	1		1	46401	2							5		4640101	1465		1
46402	2	1		1	46402	2							5		4640201	1431		1
46403	2	1		1	46403	2							5		4640301	1439		1
46404	2	1		1	46404	2							5		4640401	1427		1
46405	2	1		1	46407	2							5		4640501	1009		1
46501	2	1		1	46503	2							5		4650101	1218		1
46502	2	1		1	46505	2							5		4650201	1009		1
46503	2	1		1	46507	2							5		4650301	1009		1
46504	2	1		1	46510	2							5		4650401	1219		1
46506	2	1	1	1	46515	2	1	46516	2	1	46517	2	4	46507	4650601	1219		1
46507			1	1	46515	2	1	46516	2	1	46517	2		46510,46511,46512	4650701	1219		1
46508			1	1	46515	2	1	46516	2	1	46517	2		46513,46514,46507	4650801	1219		1
46509				1	46515	3									4650901	1219		1
46510			1	1	46515	2	1	46516	2	1	46517	2		46515	4651001	1219		1
46511			1	1	46515	2	1	46516	2	1	46517	2		46516	4651101	1219		1
46512			1	1	46515	2	1	46516	2	1	46517	2		46517	4651201	1219		1
46513				1	46518	2									4651301	1219		1
46514				1	46519	2									4651401	1219		1
46515														46513,46514,46507	4651501	1219		1
46516														46513,46514,46507	4651601	1219		1
46517														46508,46509	4651701	1219		1
46505	2	1		1	46513	2							5		4650501	1218		1
46601	2	1		1	46602	2							5		4660101	1009		1
46602	2	1		1	46605	2							5		4660201	1009		1
46603	2	1		1	46607	2							5		4660301	1009		1
46604	2	1		1	46610	2							5		4660401	1009		1
46605	2	1		1	46613	2							5		4660501	1009		1
46606	2	1		1	46616	2							5		4660601	1009		1
46607	2	1		1	46618	2							5		4660701	1009		1
46608	2	1		1	46604	2									4660801	1218		1
46609	2	1		1	46622	2							5		4660901	1009		1
46701	2	1		1	46702	2							5		4670101	1479		
46702	2	1	1	1	46703	2	3	100011	1	3	100064	1	4		4670201	1479		
46703	2	1	1	1	46703	2	3	108011	1				5		4670301	1479		
46711	2	1	1	1	46703	2	3	108012	1				5		4671101	1479		
46712	2	1	1	1	46703	2	3	108013	1				5		4671201	1479		
46713	2	1	1	1	46703	2	3	108014	1				5		4671301	1479		
46708		1		1	46703	2							3		4670801	1479		
46709		1		1	46703	2							3		4670901	1479		
46710		1		1	46703	2							3		4671001	1479		
46801	2	1		1	46801	2							5	46802,46803	4680101	20001		
46802	2	1		1	46801	2									4680201	20001		
46803	2	1		1	46801	2									4680301	20001		
46804	2	1		1	46802	3							5		4680401	20001		
46805	2	1		1	46802	2							5		4680501	20001		
46901	2	1	1	1	46903	2	2	46904	3				5		4690101	1483		
46902	2	1	1	1	46903	2	1	46904	3				5		4690201	1483		
47001	2	1		1	47002	2									4700101	1005		1
47002	2	1		1	47004	2									4700201	1005		1
48402	2	1		1	48402	2									4840201	1002		1
48404	2	1		1	48404	2								48405	4840401	1002		1
48405															4840407	1002		1
48406	2	1		1	48406	2								48405	4840601	1002		1
48408	2	1		1	48408	2								48405	4840801	1002		1
48409	2	1		1	48409	2								4840901	4840801	1002		1
4840901														4840902	4840901	1002		1
4840902														4840903,4840904	4841101	1002		1
4840903															4841102	1002		1
4840904															4841105	1002		1
48410	2	1		1	48410	2								4841001	4840401	1002		1
4841001														4840902	4841001	1002		1
48413	2	1		1	48413	2									4841301	1256		1
48416	2	1		1	48416	2									4841601	1002		1
48422	2	1		1	48422	2									4842201	1002		1
48423	2	1	1	1	48426	2	1	48427	2	1	48428	2		4842305	4842301	1006		1
4842305															4842305	1002		1
48424	2	1	1	1	48426	2	1	48427	3	1	48428	2		4842313	4842301	1006		1
4842313															4842313	1002		1
48429	2	1	1	1	48426	2	1	48427	3	1	48428	3		4842316	4842301	1006		1
4842316															4842316	1002		1
48425	2	1	1	1	48426	2	1	48427	2	1	48428	2		4842305	4842307	1007		1
48426	2	1	1	1	48426	3	1	48427	2	1	48428	2		4842313	4842307	1007		1
48430	2	1	1	1	48426	3	1	48427	2	1	48428	3		4842316	4842307	1007		1
48427	2	1	1	1	48426	2	1	48427	2	1	48428	2		4842305	4842310	1008		1
48428	2	1	1	1	48426	2	1	48427	3	1	48428	2		4842313	4842310	1008		1
48431	2	1	1	1	48426	3	1	48427	3	1	48428	2		4842316	4842310	1008		1
48432	2	1	1	1	48426	2	1	48427	2	1	48428	3		4842313	4842301	1006		1
48433	2	1	1	1	48426	2	1	48427	2	1	48428	3		4842313	4842307	1007		1
48434	2	1	1	1	48426	3	1	48427	2	1	48428	2		4842313	4842310	1008		1
48435	2	1		1	48432	2									4843101	1002		1
99801	2	1		1	99801	2									9980101	1121		
99802		1		1	99803	2									9980201	1121		
99803		1		1	99803	2									9980301	1121		
99804		1		1	99805	2									9980401	1121		
99805		1		1	99805	2									9980501	1121		
99806	2	1		1	99803	2								99802,99803	9980601	1121		
99807	2	1		1	99805	2								99804,99805	9980701	1121		
99901	2	1		1	99901	2							5	99902,99903,99904,99905,99910	9990101	1120		
99902		1		1	99901	2								99906	9990201	1120		
99903		1												99907	9990301	1120		
99904		1												99907	9990401	1120		
99905		1		1	99901	2								99907	9990501	1120		
99906	2	1		1	99902	2							5	99908,99909,99910	9990601	1120		
99907		1												99901	9990701	1120		
99908		1		1	99902	2									9990801	1120		
99909		1												99906	9990901	1120		
99910		1													9991001	1120		
99911	2	1											1		9991101	1120		
99912	2	1											1		9991201	1120		
99913	2	1											1		9991301	1120		
99701	2	1		1	99701	2							1			1006	QuestDialogue/Interaction_QtestOut	
